June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
CGR1	155.5013889	6	4	12	2	179.99944	272.77194	131.885	1.62	4999.999	5131.73	1007.999
111	155.5104167	6	4	12	15	287.53139	92.65444	1064.746	1.62	3985.791	5320.389	952.386
333	155.5104167	6	4	12	15	285.00833	92.52389	1274.239	1.62	3770.41	5329.657	945.621
CGR1	155.5111111	6	4	12	16	0	87.23639	131.885	1.62	5000	5131.732	1007.98
111	155.5111111	6	4	12	16	107.53167	267.35	1064.744	1.62	3985.792	5320.398	952.472
333	155.5118056	6	4	12	17	105.01	267.48472	1274.237	1.62	3770.414	5329.695	945.813
CGR1	155.5118056	6	4	12	17	180.00222	272.77333	131.885	1.62	5000.005	5131.731	1008.002
111	155.5208333	6	4	12	30	287.525	92.65444	1064.726	1.62	3985.775	5320.271	952.389
333	155.5208333	6	4	12	30	285.0025	92.52472	1274.22	1.62	3770.397	5329.529	945.603
CGR1	155.5215278	6	4	12	31	359.99972	87.23778	131.885	1.62	5000	5131.732	1007.977
111	155.5215278	6	4	12	31	107.52556	267.35278	1064.724	1.62	3985.774	5320.281	952.522
333	155.5222222	6	4	12	32	105.00361	267.48306	1274.221	1.62	3770.395	5329.556	945.776
CGR1	155.5222222	6	4	12	32	180.00056	272.77361	131.885	1.62	5000.001	5131.73	1008.003
111	155.53125	6	4	12	45	287.52167	92.65306	1064.704	1.62	3985.776	5320.204	952.416
333	155.53125	6	4	12	45	284.99778	92.52528	1274.206	1.62	3770.384	5329.424	945.588
CGR1	155.5319444	6	4	12	46	0.00056	87.23667	131.885	1.62	5000.001	5131.731	1007.979
111	155.5319444	6	4	12	46	107.52083	267.35306	1064.701	1.62	3985.77	5320.194	952.528
333	155.5326389	6	4	12	47	104.99917	267.48472	1274.203	1.62	3770.386	5329.456	945.81
CGR1	155.5333333	6	4	12	48	180.00278	272.7725	131.885	1.62	5000.006	5131.731	1008
111	155.5416667	6	4	13	0	287.51361	92.65083	1064.684	1.62	3985.748	5320.059	952.456
333	155.5416667	6	4	13	0	284.99556	92.5225	1274.186	1.62	3770.388	5329.372	945.651
CGR1	155.5423611	6	4	13	1	0.00083	87.23528	131.885	1.62	5000.002	5131.732	1007.983
111	155.5423611	6	4	13	1	107.51333	267.35306	1064.681	1.62	3985.745	5320.051	952.529
333	155.5430556	6	4	13	2	104.99306	267.48583	1274.184	1.62	3770.367	5329.317	945.835
CGR1	155.5430556	6	4	13	2	180.00194	272.7725	131.884	1.62	5000.004	5131.73	1008
333	155.5520833	6	4	13	15	284.98528	92.52528	1274.163	1.62	3770.353	5329.142	945.589
CGR1	155.5527778	6	4	13	16	0.00083	87.23806	131.884	1.62	5000.002	5131.731	1007.976
111	155.5527778	6	4	13	16	107.50806	267.35444	1064.662	1.62	3985.734	5319.955	952.557
333	155.5534722	6	4	13	17	104.98944	267.48361	1274.164	1.62	3770.367	5329.234	945.791
CGR1	155.5534722	6	4	13	17	180.00083	272.77472	131.884	1.62	5000.002	5131.729	1008.006
111	155.5625	6	4	13	30	287.49861	92.65806	1064.642	1.62	3985.71	5319.778	952.326
333	155.5625	6	4	13	30	284.98083	92.52528	1274.149	1.62	3770.342	5329.045	945.594
CGR1	155.5631944	6	4	13	31	359.99944	87.23361	131.885	1.62	4999.999	5131.731	1007.986
111	155.5631944	6	4	13	31	107.50111	267.35278	1064.637	1.62	3985.719	5319.822	952.528
333	155.5638889	6	4	13	32	104.98028	267.48528	1274.146	1.62	3770.331	5329.035	945.829
CGR1	155.5638889	6	4	13	32	180.00167	272.7725	131.884	1.62	5000.004	5131.729	1008
111	155.5729167	6	4	13	45	287.49083	92.65528	1064.62	1.62	3985.686	5319.636	952.376
333	155.5729167	6	4	13	45	284.97556	92.5225	1274.124	1.62	3770.332	5328.925	945.654
CGR1	155.5736111	6	4	13	46	359.99917	87.23417	131.886	1.62	4999.998	5131.732	1007.985
111	155.5736111	6	4	13	46	107.49417	267.35333	1064.616	1.62	3985.7	5319.692	952.536
333	155.5743056	6	4	13	47	104.97639	267.48417	1274.128	1.62	3770.327	5328.945	945.804
CGR1	155.5743056	6	4	13	47	180.00139	272.77222	131.885	1.62	5000.003	5131.73	1008
111	155.5833333	6	4	14	0	287.48472	92.65611	1064.599	1.62	3985.672	5319.517	952.364
333	155.5833333	6	4	14	0	287.48694	92.65556	1064.599	1.62	3985.684	5319.559	952.371
CGR1	155.5840278	6	4	14	1	359.99917	87.24	131.885	1.62	4999.998	5131.732	1007.971
111	155.5847222	6	4	14	2	107.48944	267.35139	1064.595	1.62	3985.695	5319.602	952.504
333	155.5847222	6	4	14	2	104.97167	267.48139	1274.108	1.62	3770.323	5328.84	945.743
CGR1	155.5854167	6	4	14	3	180.00056	272.77278	131.884	1.62	5000.001	5131.73	1008.001
111	155.59375	6	4	14	15	287.47972	92.66056	1064.578	1.62	3985.668	5319.424	952.281
333	155.59375	6	4	14	15	284.96667	92.52639	1274.087	1.62	3770.321	5328.724	945.572
CGR1	155.5944444	6	4	14	16	0.00167	87.23583	131.885	1.62	5000.004	5131.732	1007.982
111	155.5951389	6	4	14	17	107.48194	267.35861	1064.575	1.62	3985.668	5319.468	952.636
333	155.5951389	6	4	14	17	104.96917	267.48694	1274.088	1.62	3770.323	5328.783	945.867
CGR1	155.5958333	6	4	14	18	180.00222	272.77611	131.884	1.62	5000.005	5131.729	1008.009
111	155.6041667	6	4	14	30	287.475	92.65361	1064.556	1.62	3985.657	5319.333	952.409
333	155.6041667	6	4	14	30	284.95861	92.51944	1274.065	1.62	3770.29	5328.551	945.724
CGR1	155.6048611	6	4	14	31	0.00111	87.23556	131.885	1.62	5000.002	5131.732	1007.982
111	155.6055556	6	4	14	32	107.47583	267.35306	1064.555	1.62	3985.658	5319.353	952.532
333	155.6055556	6	4	14	32	104.96306	267.48361	1274.068	1.62	3770.309	5328.645	945.792
CGR1	155.6055556	6	4	14	32	180.00194	272.77111	131.885	1.62	5000.005	5131.731	1007.997
111	155.6145833	6	4	14	45	287.47	92.65694	1064.534	1.62	3985.652	5319.237	952.347
333	155.6145833	6	4	14	45	284.95389	92.52667	1274.047	1.62	3770.286	5328.44	945.566
CGR1	155.6152778	6	4	14	46	0.00056	87.23611	131.885	1.62	5000.001	5131.732	1007.981
111	155.6159722	6	4	14	47	107.47083	267.35333	1064.53	1.62	3985.652	5319.253	952.541
333	155.6159722	6	4	14	47	104.95833	267.48639	1274.047	1.62	3770.301	5328.542	945.853
CGR1	155.6166667	6	4	14	48	180.00389	272.77278	131.885	1.62	5000.009	5131.73	1008.001
111	155.625	6	4	15	0	287.46194	92.65611	1064.514	1.62	3985.627	5319.09	952.368
333	155.625	6	4	15	0	284.95083	92.52444	1274.028	1.62	3770.286	5328.371	945.614
CGR1	155.6256944	6	4	15	1	0.00028	87.23806	131.886	1.62	5000	5131.732	1007.976
111	155.6263889	6	4	15	2	107.46389	267.35139	1064.507	1.62	3985.638	5319.125	952.506
333	155.6263889	6	4	15	2	104.95056	267.4825	1274.029	1.62	3770.277	5328.367	945.772
CGR1	155.6270833	6	4	15	3	180.00222	272.77111	131.884	1.62	5000.005	5131.73	1007.998
111	155.6354167	6	4	15	15	287.45417	92.65556	1064.489	1.62	3985.607	5318.948	952.375
333	155.6354167	6	4	15	15	284.94667	92.52417	1274.011	1.62	3770.278	5328.279	945.624
CGR1	155.6361111	6	4	15	16	0.00028	87.23722	131.886	1.62	5000	5131.733	1007.979
111	155.6361111	6	4	15	16	107.45667	267.34889	1064.486	1.62	3985.619	5318.987	952.458
333	155.6368056	6	4	15	17	104.94667	267.48361	1274.003	1.62	3770.278	5328.276	945.793
CGR1	155.6368056	6	4	15	17	180.00167	272.77194	131.886	1.62	5000.004	5131.731	1008
111	155.6458333	6	4	15	30	287.45306	92.66056	1064.466	1.62	3985.626	5318.919	952.285
333	155.6458333	6	4	15	30	287.455	92.66111	1064.467	1.62	3985.637	5318.954	952.273
CGR1	155.6465278	6	4	15	31	0.00417	87.24139	131.885	1.62	5000.01	5131.732	1007.969
111	155.6472222	6	4	15	32	107.45361	267.3525	1064.466	1.62	3985.62	5318.933	952.527
333	155.6472222	6	4	15	32	104.94639	267.48556	1273.989	1.62	3770.288	5328.266	945.837
CGR1	155.6479167	6	4	15	33	180.0075	272.775	131.885	1.62	5000.017	5131.73	1008.007
111	155.65625	6	4	15	45	287.44611	92.66056	1064.445	1.62	3985.607	5318.787	952.287
333	155.65625	6	4	15	45	284.93917	92.5275	1273.972	1.62	3770.275	5328.103	945.548
CGR1	155.6569444	6	4	15	46	0.00556	87.23889	131.885	1.62	5000.013	5131.732	1007.974
111	155.6569444	6	4	15	46	107.44778	267.35278	1064.441	1.62	3985.61	5318.822	952.534
333	155.6576389	6	4	15	47	104.94083	267.48444	1273.969	1.62	3770.276	5328.141	945.817
CGR1	155.6576389	6	4	15	47	180.00556	272.77222	131.885	1.62	5000.013	5131.73	1008
111	155.6666667	6	4	16	0	287.43917	92.65917	1064.423	1.62	3985.588	5318.658	952.316
333	155.6666667	6	4	16	0	284.93222	92.52694	1273.948	1.62	3770.258	5327.949	945.56
CGR1	155.6673611	6	4	16	1	0.00583	87.24	131.885	1.62	5000.013	5131.732	1007.972
111	155.6680556	6	4	16	2	107.44222	267.35139	1064.421	1.62	3985.599	5318.716	952.513
333	155.6680556	6	4	16	2	104.93639	267.48472	1273.949	1.62	3770.271	5328.044	945.824
CGR1	155.66875	6	4	16	3	180.00917	272.77444	131.884	1.62	5000.021	5131.729	1008.005
111	155.6770833	6	4	16	15	287.43	92.65806	1064.401	1.62	3985.558	5318.491	952.336
333	155.6770833	6	4	16	15	284.92556	92.52444	1273.928	1.62	3770.238	5327.805	945.619
CGR1	155.6777778	6	4	16	16	0.00639	87.24139	131.884	1.62	5000.014	5131.731	1007.969
111	155.6777778	6	4	16	16	107.43306	267.35194	1064.398	1.62	3985.569	5318.544	952.521
333	155.6784722	6	4	16	17	104.92528	267.485	1273.926	1.62	3770.229	5327.8	945.83
CGR1	155.6784722	6	4	16	17	180.00583	272.77361	131.884	1.62	5000.014	5131.73	1008.003
111	155.6875	6	4	16	30	287.42472	92.65861	1064.382	1.62	3985.548	5318.393	952.327
333	155.6875	6	4	16	30	284.92083	92.52611	1273.909	1.62	3770.229	5327.693	945.585
CGR1	155.6881944	6	4	16	31	0.00778	87.23972	131.885	1.62	5000.018	5131.732	1007.973
111	155.6881944	6	4	16	31	107.42833	267.35167	1064.377	1.62	3985.563	5318.456	952.519
333	155.6888889	6	4	16	32	104.92667	267.48333	1273.909	1.62	3770.254	5327.82	945.794
CGR1	155.6895833	6	4	16	33	180.01	272.77306	131.885	1.62	5000.023	5131.73	1008.002
111	155.6979167	6	4	16	45	287.41583	92.65889	1064.357	1.62	3985.522	5318.227	952.324
333	155.6979167	6	4	16	45	284.91472	92.5275	1273.884	1.62	3770.221	5327.56	945.552
CGR1	155.6986111	6	4	16	46	0.005	87.24056	131.884	1.62	5000.011	5131.731	1007.971
111	155.6993056	6	4	16	47	107.42028	267.35167	1064.351	1.62	3985.543	5318.307	952.52
333	155.6993056	6	4	16	47	104.91806	267.48583	1273.884	1.62	3770.227	5327.632	945.848
CGR1	155.7	6	4	16	48	180.00833	272.77528	131.885	1.62	5000.019	5131.73	1008.007
111	155.7083333	6	4	17	0	287.40889	92.65917	1064.332	1.62	3985.507	5318.093	952.318
333	155.7083333	6	4	17	0	284.90528	92.52889	1273.867	1.62	3770.184	5327.35	945.523
CGR1	155.7090278	6	4	17	1	0.00167	87.24056	131.885	1.62	5000.004	5131.732	1007.97
111	155.7097222	6	4	17	2	107.40861	267.355	1064.328	1.62	3985.498	5318.095	952.58
333	155.7097222	6	4	17	2	104.90917	267.48611	1273.859	1.62	3770.2	5327.435	945.857
CGR1	155.7104167	6	4	17	3	180.00333	272.77556	131.885	1.62	5000.008	5131.73	1008.008
111	155.71875	6	4	17	15	287.39972	92.66028	1064.31	1.62	3985.478	5317.927	952.299
333	155.71875	6	4	17	15	284.90278	92.52639	1273.846	1.62	3770.188	5327.29	945.58
CGR1	155.7194444	6	4	17	16	0.00639	87.24083	131.885	1.62	5000.015	5131.732	1007.97
111	155.7201389	6	4	17	17	107.405	267.35417	1064.306	1.62	3985.5	5318.025	952.566
333	155.7201389	6	4	17	17	104.90444	267.48694	1273.839	1.62	3770.192	5327.328	945.875
CGR1	155.7208333	6	4	17	18	180.00556	272.775	131.884	1.62	5000.013	5131.729	1008.007
111	155.7291667	6	4	17	30	287.39722	92.65472	1064.285	1.62	3985.484	5317.876	952.402
333	155.7291667	6	4	17	30	284.89722	92.52417	1273.824	1.62	3770.176	5327.17	945.631
CGR1	155.7298611	6	4	17	31	0.00444	87.23694	131.884	1.62	5000.01	5131.731	1007.979
111	155.7298611	6	4	17	31	107.39917	267.35194	1064.283	1.62	3985.491	5317.914	952.526
333	155.7305556	6	4	17	32	104.89889	267.48417	1273.824	1.62	3770.177	5327.203	945.815
CGR1	155.7305556	6	4	17	32	180.0075	272.7725	131.886	1.62	5000.017	5131.731	1008.001
111	155.7395833	6	4	17	45	287.38667	92.65389	1064.262	1.62	3985.447	5317.686	952.419
333	155.7395833	6	4	17	45	284.89083	92.52194	1273.803	1.62	3770.157	5327.023	945.677
CGR1	155.7402778	6	4	17	46	0.00139	87.24111	131.885	1.62	5000.003	5131.732	1007.969
111	155.7409722	6	4	17	47	107.3875	267.35111	1064.261	1.62	3985.448	5317.701	952.514
333	155.7409722	6	4	17	47	104.88889	267.48278	1273.802	1.62	3770.142	5326.983	945.784
CGR1	155.7416667	6	4	17	48	180.005	272.77083	131.884	1.62	5000.011	5131.73	1007.997
111	155.75	6	4	18	0	287.38	92.65556	1064.241	1.62	3985.431	5317.56	952.388
333	155.75	6	4	18	0	284.88167	92.52389	1273.782	1.62	3770.127	5326.823	945.636
CGR1	155.7506944	6	4	18	1	0.00389	87.23722	131.885	1.62	5000.009	5131.732	1007.978
111	155.7513889	6	4	18	2	107.38111	267.35583	1064.238	1.62	3985.43	5317.579	952.6
333	155.7513889	6	4	18	2	104.88278	267.48667	1273.781	1.62	3770.125	5326.851	945.873
CGR1	155.7520833	6	4	18	3	180.00556	272.77167	131.885	1.62	5000.013	5131.73	1007.998
111	155.7604167	6	4	18	15	287.3725	92.65556	1064.218	1.62	3985.411	5317.419	952.39
CGR1	155.7611111	6	4	18	16	0.00278	87.23917	131.885	1.62	5000.006	5131.732	1007.974
111	155.7618056	6	4	18	17	107.37444	267.35222	1064.212	1.62	3985.42	5317.451	952.536
333	155.7618056	6	4	18	17	104.88056	267.48444	1273.759	1.62	3770.136	5326.797	945.823
CGR1	155.7625	6	4	18	18	180.00556	272.77194	131.885	1.62	5000.013	5131.73	1007.999
111	155.7708333	6	4	18	30	287.36417	92.65944	1064.193	1.62	3985.391	5317.261	952.321
333	155.7708333	6	4	18	30	284.87278	92.52	1273.742	1.62	3770.111	5326.621	945.724
CGR1	155.7715278	6	4	18	31	0.00194	87.23722	131.885	1.62	5000.004	5131.732	1007.978
111	155.7715278	6	4	18	31	107.36889	267.35278	1064.19	1.62	3985.41	5317.346	952.548
333	155.7722222	6	4	18	32	104.87361	267.48583	1273.743	1.62	3770.109	5326.641	945.855
CGR1	155.7729167	6	4	18	33	180.00528	272.77167	131.885	1.62	5000.012	5131.73	1007.999
111	155.78125	6	4	18	45	287.35972	92.6625	1064.169	1.62	3985.392	5317.175	952.264
333	155.78125	6	4	18	45	284.86722	92.52583	1273.721	1.62	3770.105	5326.496	945.6
CGR1	155.7819444	6	4	18	46	0.00333	87.24111	131.885	1.62	5000.008	5131.732	1007.969
111	155.7826389	6	4	18	47	107.36083	267.34833	1064.167	1.62	3985.393	5317.199	952.464
333	155.7826389	6	4	18	47	104.86806	267.48667	1273.721	1.62	3770.099	5326.52	945.875
CGR1	155.7833333	6	4	18	48	180.00556	272.77222	131.885	1.62	5000.013	5131.73	1008
111	155.7916667	6	4	19	0	287.34722	92.66	1064.148	1.62	3985.341	5316.947	952.309
333	155.7916667	6	4	19	0	287.34722	92.66	1064.147	1.62	3985.342	5316.948	952.31
CGR1	155.7923611	6	4	19	1	359.9975	87.23944	131.885	1.62	4999.994	5131.732	1007.973
111	155.7923611	6	4	19	1	107.34917	267.35028	1064.143	1.62	3985.349	5316.984	952.502
333	155.7930556	6	4	19	2	104.85611	267.48722	1273.699	1.62	3770.051	5326.254	945.886
CGR1	155.79375	6	4	19	3	179.99806	272.77222	131.885	1.62	4999.996	5131.731	1008
111	155.8020833	6	4	19	15	287.34361	92.65972	1064.125	1.62	3985.343	5316.877	952.32
333	155.8020833	6	4	19	15	287.34139	92.65889	1064.123	1.62	3985.333	5316.841	952.335
CGR1	155.8027778	6	4	19	16	0	87.23917	131.885	1.62	5000	5131.732	1007.974
111	155.8027778	6	4	19	16	107.34611	267.35	1064.121	1.62	3985.352	5316.922	952.498
333	155.8034722	6	4	19	17	107.34417	267.34722	1064.121	1.62	3985.344	5316.886	952.446
CGR1	155.8034722	6	4	19	17	180.00333	272.77056	131.885	1.62	5000.008	5131.731	1007.996
111	155.8125	6	4	19	30	287.33417	92.66056	1064.101	1.62	3985.314	5316.702	952.301
333	155.8125	6	4	19	30	287.33389	92.6625	1064.099	1.62	3985.316	5316.696	952.268
CGR1	155.8131944	6	4	19	31	359.99861	87.24139	131.885	1.62	4999.997	5131.732	1007.969
111	155.8138889	6	4	19	32	107.33528	267.35167	1064.098	1.62	3985.314	5316.726	952.532
333	155.8138889	6	4	19	32	107.33639	267.35222	1064.098	1.62	3985.32	5316.747	952.539
CGR1	155.8145833	6	4	19	33	179.99917	272.77306	131.885	1.62	4999.998	5131.73	1008.002
111	155.8229167	6	4	19	45	287.33111	92.65833	1064.079	1.62	3985.317	5316.643	952.347
333	155.8229167	6	4	19	45	287.33028	92.66	1064.077	1.62	3985.315	5316.627	952.313
CGR1	155.8236111	6	4	19	46	0.00111	87.23833	131.886	1.62	5000.003	5131.732	1007.975
111	155.8236111	6	4	19	46	107.33167	267.34972	1064.074	1.62	3985.318	5316.653	952.494
333	155.8243056	6	4	19	47	107.33278	267.345	1064.075	1.62	3985.328	5316.674	952.408
CGR1	155.8243056	6	4	19	47	180.00528	272.77	131.885	1.62	5000.012	5131.731	1007.995
111	155.8333333	6	4	20	0	287.32333	92.66222	1064.055	1.62	3985.299	5316.497	952.271
333	155.8333333	6	4	20	0	287.32306	92.66222	1064.051	1.62	3985.302	5316.49	952.275
CGR1	155.8340278	6	4	20	1	0	87.24028	131.886	1.62	5000	5131.733	1007.971
111	155.8347222	6	4	20	2	107.32611	267.34972	1064.052	1.62	3985.309	5316.55	952.495
333	155.8347222	6	4	20	2	107.32667	267.34889	1064.05	1.62	3985.314	5316.556	952.481
CGR1	155.8354167	6	4	20	3	180.00361	272.77278	131.885	1.62	5000.009	5131.73	1008.001
111	155.84375	6	4	20	15	287.31667	92.66111	1064.03	1.62	3985.287	5316.375	952.298
333	155.84375	6	4	20	15	287.31583	92.66167	1064.031	1.62	3985.28	5316.356	952.285
CGR1	155.8444444	6	4	20	16	0.00139	87.24111	131.885	1.62	5000.003	5131.732	1007.969
111	155.8451389	6	4	20	17	107.31722	267.34972	1064.026	1.62	3985.284	5316.385	952.496
333	155.8451389	6	4	20	17	107.31722	267.34833	1064.027	1.62	3985.285	5316.386	952.469
CGR1	155.8458333	6	4	20	18	180.00417	272.77333	131.885	1.62	5000.01	5131.73	1008.002
333	155.8541667	6	4	20	30	287.30917	92.65972	1064.009	1.62	3985.263	5316.233	952.323
CGR1	155.8548611	6	4	20	31	0.00056	87.23917	131.885	1.62	5000.001	5131.732	1007.973
333	155.8555556	6	4	20	32	107.31083	267.34917	1064.006	1.62	3985.269	5316.264	952.489
CGR1	155.85625	6	4	20	33	180.00361	272.77139	131.885	1.62	5000.008	5131.731	1007.998
111	155.8645833	6	4	20	45	287.30111	92.665	1063.987	1.62	3985.245	5316.084	952.228
333	155.8645833	6	4	20	45	287.30194	92.66056	1063.986	1.62	3985.246	5316.099	952.306
CGR1	155.8652778	6	4	20	46	0.00194	87.24278	131.885	1.62	5000.004	5131.732	1007.965
111	155.8659722	6	4	20	47	107.30444	267.35333	1063.984	1.62	3985.25	5316.144	952.564
333	155.8659722	6	4	20	47	107.30389	267.35083	1063.981	1.62	3985.252	5316.134	952.519
CGR1	155.8666667	6	4	20	48	180.00083	272.77611	131.885	1.62	5000.002	5131.73	1008.009
111	155.875	6	4	21	0	287.29361	92.65528	1063.965	1.62	3985.216	5315.947	952.407
333	155.875	6	4	21	0	287.29278	92.66194	1063.966	1.62	3985.216	5315.93	952.283
CGR1	155.8756944	6	4	21	1	359.99917	87.24083	131.885	1.62	4999.998	5131.732	1007.97
111	155.8763889	6	4	21	2	107.29861	267.35139	1063.96	1.62	3985.244	5316.036	952.533
333	155.8763889	6	4	21	2	107.29556	267.35389	1063.962	1.62	3985.222	5315.981	952.58
CGR1	155.8770833	6	4	21	3	180.00167	272.77278	131.885	1.62	5000.004	5131.731	1008.001
111	155.8854167	6	4	21	15	287.28972	92.66167	1063.942	1.62	3985.222	5315.87	952.287
333	155.8854167	6	4	21	15	284.80417	92.52139	1273.515	1.62	3769.942	5325.093	945.707
CGR1	155.8861111	6	4	21	16	0.00028	87.24	131.885	1.62	5000.001	5131.732	1007.972
111	155.8868056	6	4	21	17	107.28944	267.34972	1063.937	1.62	3985.215	5315.863	952.502
333	155.8868056	6	4	21	17	107.28972	267.34667	1063.936	1.62	3985.221	5315.87	952.447
CGR1	155.8875	6	4	21	18	180.00167	272.77361	131.884	1.62	5000.004	5131.729	1008.003
111	155.8958333	6	4	21	30	287.28083	92.66028	1063.918	1.62	3985.195	5315.704	952.317
333	155.8958333	6	4	21	30	284.80167	92.52528	1273.495	1.62	3769.95	5325.03	945.622
CGR1	155.8965278	6	4	21	31	359.99861	87.23667	131.885	1.62	4999.997	5131.732	1007.98
111	155.8972222	6	4	21	32	107.28472	267.34833	1063.917	1.62	3985.21	5315.774	952.475
333	155.8972222	6	4	21	32	107.28139	267.34806	1063.915	1.62	3985.193	5315.714	952.471
CGR1	155.8979167	6	4	21	33	180	272.77389	131.885	1.62	5000	5131.73	1008.004
