June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
CGR1	154.8243056	6	3	19	47	180.00528	272.77583	131.884	1.62	5000.012	5131.729	1008.008
111	154.8333333	6	3	20	0	287.95472	92.64639	1066.17	1.62	3986.827	5328.316	952.47
333	154.8333333	6	3	20	0	285.36	92.52833	1275.52	1.62	3771.228	5337.538	945.466
CGR1	154.8340278	6	3	20	1	0.00306	87.23389	131.886	1.62	5000.007	5131.732	1007.986
111	154.8347222	6	3	20	2	107.95667	267.36639	1066.167	1.62	3986.829	5328.35	952.707
333	154.8347222	6	3	20	2	105.36389	267.48028	1275.523	1.62	3771.24	5337.623	945.657
CGR1	154.8354167	6	3	20	3	180.00778	272.77333	131.884	1.62	5000.018	5131.73	1008.003
333	154.8520833	6	3	20	27	285.35083	92.52806	1275.486	1.62	3771.207	5337.333	945.471
CGR1	154.8527778	6	3	20	28	0.00611	87.24028	131.884	1.62	5000.014	5131.731	1007.971
111	154.8534722	6	3	20	29	107.94444	267.36222	1066.129	1.62	3986.801	5328.125	952.635
333	154.8534722	6	3	20	29	105.3525	267.48056	1275.488	1.62	3771.207	5337.372	945.663
CGR1	154.8541667	6	3	20	30	180.00806	272.77083	131.884	1.62	5000.019	5131.73	1007.997
111	154.8541667	6	3	20	30	287.94028	92.64083	1066.126	1.62	3986.781	5328.047	952.574
333	154.8541667	6	3	20	30	285.34722	92.52917	1275.481	1.62	3771.192	5337.255	945.447
CGR1	154.8548611	6	3	20	31	0.00167	87.23944	131.886	1.62	5000.004	5131.732	1007.973
111	154.8555556	6	3	20	32	107.94444	267.36861	1066.124	1.62	3986.799	5328.121	952.753
333	154.8555556	6	3	20	32	105.35083	267.48139	1275.479	1.62	3771.205	5337.334	945.681
CGR1	154.85625	6	3	20	33	180.00333	272.77361	131.885	1.62	5000.008	5131.73	1008.003
111	154.8645833	6	3	20	45	287.93278	92.63889	1066.105	1.62	3986.756	5327.908	952.614
333	154.8645833	6	3	20	45	285.3425	92.52556	1275.466	1.62	3771.175	5337.149	945.528
CGR1	154.8652778	6	3	20	46	0.00333	87.24083	131.885	1.62	5000.008	5131.732	1007.97
111	154.8652778	6	3	20	46	107.93694	267.36583	1066.103	1.62	3986.778	5327.982	952.703
333	154.8659722	6	3	20	47	105.34361	267.48083	1275.465	1.62	3771.176	5337.174	945.669
CGR1	154.8666667	6	3	20	48	180.00417	272.77333	131.885	1.62	5000.009	5131.731	1008.003
111	154.875	6	3	21	0	287.92806	92.64417	1066.085	1.62	3986.753	5327.82	952.514
333	154.875	6	3	21	0	285.33806	92.52972	1275.445	1.62	3771.173	5337.045	945.433
CGR1	154.8756944	6	3	21	1	0.00444	87.24056	131.885	1.62	5000.01	5131.732	1007.97
111	154.8756944	6	3	21	1	107.93028	267.36583	1066.081	1.62	3986.76	5327.857	952.703
333	154.8763889	6	3	21	2	105.34083	267.48417	1275.448	1.62	3771.174	5337.112	945.742
CGR1	154.8763889	6	3	21	2	180.00389	272.77361	131.885	1.62	5000.009	5131.731	1008.003
111	154.8854167	6	3	21	15	287.91917	92.64583	1066.063	1.62	3986.725	5327.655	952.483
333	154.8854167	6	3	21	15	285.33417	92.52944	1275.425	1.62	3771.17	5336.96	945.444
CGR1	154.8861111	6	3	21	16	0.00444	87.23861	131.885	1.62	5000.01	5131.732	1007.975
111	154.8861111	6	3	21	16	107.92333	267.36667	1066.058	1.62	3986.743	5327.73	952.718
333	154.8868056	6	3	21	17	105.33361	267.48333	1275.426	1.62	3771.153	5336.951	945.725
CGR1	154.8868056	6	3	21	17	180.00417	272.77222	131.885	1.62	5000.01	5131.73	1008
111	154.8958333	6	3	21	30	287.91194	92.64444	1066.041	1.62	3986.704	5327.521	952.51
333	154.8958333	6	3	21	30	285.32639	92.52528	1275.408	1.62	3771.136	5336.787	945.534
CGR1	154.8965278	6	3	21	31	0.00083	87.23778	131.886	1.62	5000.002	5131.733	1007.977
111	154.8965278	6	3	21	31	107.91139	267.36583	1066.041	1.62	3986.691	5327.512	952.704
333	154.8972222	6	3	21	32	105.325	267.48583	1275.407	1.62	3771.117	5336.761	945.782
CGR1	154.8972222	6	3	21	32	180.00222	272.77333	131.884	1.62	5000.005	5131.73	1008.003
111	154.90625	6	3	21	45	287.90417	92.64528	1066.022	1.62	3986.677	5327.378	952.498
333	154.90625	6	3	21	45	285.31806	92.52444	1275.391	1.62	3771.102	5336.605	945.558
CGR1	154.9069444	6	3	21	46	359.99944	87.23611	131.885	1.62	4999.999	5131.732	1007.981
111	154.9069444	6	3	21	46	107.90583	267.36278	1066.02	1.62	3986.682	5327.406	952.647
