---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
111,5, 10, 2, 46,358.90030,267.79620,1970.9550,5037.8010,3030.8440,926.1740
REF,5, 10, 3, 0,201.53100,265.66450,23.0160,5008.4230,5021.3480,999.9600
REF,5, 10, 3, 0,21.53240,94.33490,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 3, 1,178.89580,92.19860,1970.7870,5037.9520,3031.0080,926.3570
111,5, 10, 3, 1,358.89870,267.79610,1970.7860,5037.8530,3031.0140,926.1770
REF,5, 10, 3, 15,201.53120,265.66370,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 3, 15,21.53410,94.33370,23.0160,5008.4240,5021.3480,999.9610
111,5, 10, 3, 16,178.89370,92.20100,1970.6220,5038.0190,3031.1770,926.2830
111,5, 10, 3, 16,358.89740,267.79450,1970.6250,5037.8930,3031.1780,926.1270
REF,5, 10, 3, 30,201.53290,265.66240,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 3, 30,21.53300,94.33330,23.0160,5008.4230,5021.3480,999.9610
111,5, 10, 3, 31,178.89320,92.20140,1970.4650,5038.0340,3031.3350,926.2730
111,5, 10, 3, 31,358.89630,267.79310,1970.4580,5037.9290,3031.3470,926.0860
REF,5, 10, 3, 45,201.53350,265.66330,23.0150,5008.4240,5021.3480,999.9600
REF,5, 10, 3, 45,21.53170,94.33480,23.0160,5008.4230,5021.3480,999.9600
111,5, 10, 3, 46,178.89140,92.20140,1970.2980,5038.0930,3031.5020,926.2810
111,5, 10, 3, 46,358.89580,267.79180,1970.2950,5037.9410,3031.5120,926.0460
REF,5, 10, 4, 0,201.53170,265.66320,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 4, 0,21.53330,94.33440,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 4, 1,178.88980,92.20260,1970.1380,5038.1460,3031.6660,926.2470
111,5, 10, 4, 1,358.89310,267.79220,1970.1340,5038.0320,3031.6740,926.0660
REF,5, 10, 4, 15,201.53120,265.66300,23.0150,5008.4230,5021.3480,999.9600
