---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 10, 21, 0,21.53130,94.33530,23.0160,5008.4230,5021.3480,999.9600
111,5, 10, 21, 1,178.80830,92.21810,1959.2860,5040.7190,3042.5840,926.1290
111,5, 10, 21, 1,358.81230,267.77600,1959.2850,5040.5810,3042.5890,925.9290
REF,5, 10, 21, 15,201.53050,265.66250,23.0160,5008.4220,5021.3480,999.9590
REF,5, 10, 21, 15,21.52810,94.33460,23.0160,5008.4220,5021.3490,999.9600
111,5, 10, 21, 16,178.80740,92.21650,1959.1340,5040.7450,3042.7340,926.1910
111,5, 10, 21, 16,358.80950,267.77700,1959.1300,5040.6750,3042.7460,925.9700
REF,5, 10, 21, 30,201.52940,265.66340,23.0160,5008.4220,5021.3480,999.9600
REF,5, 10, 21, 30,21.52680,94.33520,23.0160,5008.4210,5021.3490,999.9600
111,5, 10, 21, 31,178.80700,92.21670,1958.9840,5040.7560,3042.8840,926.1910
111,5, 10, 21, 31,358.80960,267.77880,1958.9780,5040.6670,3042.8940,926.0360
REF,5, 10, 21, 45,201.53020,265.66310,23.0150,5008.4220,5021.3480,999.9600
REF,5, 10, 21, 45,21.52800,94.33470,23.0160,5008.4220,5021.3490,999.9600
111,5, 10, 21, 46,178.80650,92.21460,1958.8260,5040.7700,3043.0400,926.2690
111,5, 10, 21, 46,358.80870,267.77900,1958.8230,5040.6940,3043.0490,926.0500
REF,5, 10, 22, 0,201.53050,265.66300,23.0160,5008.4230,5021.3490,999.9600
REF,5, 10, 22, 0,21.52840,94.33500,23.0160,5008.4220,5021.3490,999.9600
111,5, 10, 22, 1,178.80670,92.21350,1958.6700,5040.7600,3043.1950,926.3100
111,5, 10, 22, 1,358.80880,267.78060,1958.6650,5040.6890,3043.2050,926.1100
REF,5, 10, 22, 15,201.53040,265.66310,23.0160,5008.4220,5021.3490,999.9600
REF,5, 10, 22, 15,21.52870,94.33560,23.0150,5008.4220,5021.3480,999.9600
111,5, 10, 22, 16,178.80520,92.21370,1958.5100,5040.8090,3043.3560,926.3120
111,5, 10, 22, 16,358.80760,267.78060,1958.5060,5040.7270,3043.3650,926.1160
REF,5, 10, 22, 30,201.53030,265.66160,23.0160,5008.4220,5021.3480,999.9590
REF,5, 10, 22, 30,21.52910,94.33470,23.0160,5008.4220,5021.3490,999.9600
111,5, 10, 22, 31,178.80520,92.21180,1958.3520,5040.8060,3043.5110,926.3810
111,5, 10, 22, 31,358.80940,267.78310,1958.3460,5040.6620,3043.5200,926.2070
REF,5, 10, 22, 45,201.53080,265.66230,23.0160,5008.4230,5021.3480,999.9590
REF,5, 10, 22, 45,21.52930,94.33480,23.0150,5008.4220,5021.3480,999.9600
111,5, 10, 22, 46,178.80410,92.21160,1958.1920,5040.8390,3043.6710,926.3960
111,5, 10, 22, 46,358.80790,267.78240,1958.1880,5040.7090,3043.6800,926.1890
REF,5, 10, 23, 0,201.53010,265.66320,23.0160,5008.4220,5021.3480,999.9600
REF,5, 10, 23, 0,21.52820,94.33670,23.0160,5008.4220,5021.3490,999.9600
111,5, 10, 23, 1,178.80390,92.21070,1958.0280,5040.8440,3043.8340,926.4320
111,5, 10, 23, 1,358.80650,267.78620,1958.0230,5040.7550,3043.8410,926.3240
REF,5, 10, 23, 15,201.52890,265.66240,23.0160,5008.4220,5021.3490,999.9590
REF,5, 10, 23, 15,21.52870,94.33600,23.0150,5008.4220,5021.3480,999.9600
111,5, 10, 23, 16,178.80040,92.20930,1957.8630,5040.9600,3044.0000,926.4870
111,5, 10, 23, 16,358.80480,267.78460,1957.8610,5040.8100,3044.0070,926.2780
REF,5, 10, 23, 30,201.52790,265.66080,23.0150,5008.4210,5021.3490,999.9590
REF,5, 10, 23, 30,21.52770,94.33470,23.0160,5008.4210,5021.3490,999.9600
111,5, 10, 23, 31,178.80080,92.20780,1957.6970,5040.9420,3044.1630,926.5440
111,5, 10, 23, 31,358.80400,267.78260,1957.6900,5040.8330,3044.1800,926.2140
REF,5, 10, 23, 45,201.52860,265.66230,23.0150,5008.4220,5021.3480,999.9590
REF,5, 10, 23, 45,21.52650,94.33600,23.0150,5008.4210,5021.3490,999.9600
