id,date,x_NAD27,y_NAD27,z1,lat_WGS84,lng_WGS84,z2
ICE_0088,2004-07-05 15:00:17,502210.904,6782090.473,341.522,61.17460587,-146.961051,345.675
ICE_0089,2004-07-05 18:00:17,502210.479,6782090.173,341.493,61.17460318,-146.9610589,345.646
ICE_0090,2004-07-05 21:00:17,502210.054,6782089.881,341.473,61.17460056,-146.9610668,345.626
ICE_0091,2004-07-06 00:00:17,502209.624,6782089.596,341.462,61.17459801,-146.9610748,345.615
ICE_0092,2004-07-06 03:00:17,502209.217,6782089.307,341.442,61.17459541,-146.9610824,345.595
ICE_0093,2004-07-06 06:00:17,502208.821,6782089.021,341.417,61.17459285,-146.9610898,345.57
ICE_0094,2004-07-06 09:00:17,502208.44,6782088.741,341.402,61.17459034,-146.9610969,345.555
ICE_0095,2004-07-06 12:00:17,502208.076,6782088.488,341.371,61.17458806,-146.9611036,345.524
ICE_0096,2004-07-06 15:00:17,502207.693,6782088.232,341.374,61.17458576,-146.9611108,345.527
ICE_0097,2004-07-06 18:00:17,502207.261,6782087.93,341.352,61.17458306,-146.9611188,345.505
ICE_0098,2004-07-06 21:00:17,502206.804,6782087.629,341.349,61.17458036,-146.9611273,345.502
ICE_0099,2004-07-07 00:00:17,502206.336,6782087.319,341.373,61.17457758,-146.961136,345.527
ICE_0100,2004-07-07 03:00:17,502205.879,6782087,341.306,61.17457472,-146.9611445,345.459
ICE_0101,2004-07-07 06:00:17,502205.41,6782086.68,341.284,61.17457185,-146.9611532,345.437
ICE_0102,2004-07-07 09:00:17,502204.944,6782086.359,341.292,61.17456897,-146.9611619,345.445
ICE_0103,2004-07-07 12:00:17,502204.467,6782086.04,341.265,61.17456611,-146.9611708,345.419
ICE_0104,2004-07-07 15:00:17,502203.954,6782085.694,341.266,61.17456301,-146.9611803,345.419
ICE_0105,2004-07-07 18:00:17,502203.363,6782085.304,341.259,61.17455951,-146.9611913,345.413
ICE_0106,2004-07-07 21:00:17,502202.705,6782084.872,341.281,61.17455563,-146.9612035,345.434
ICE_0107,2004-07-08 00:00:17,502202.063,6782084.429,341.232,61.17455165,-146.9612155,345.385
ICE_0108,2004-07-08 03:00:17,502201.339,6782083.985,341.25,61.17454768,-146.9612289,345.403
ICE_0109,2004-07-08 06:00:17,502200.667,6782083.56,341.235,61.17454387,-146.9612414,345.388
ICE_0110,2004-07-08 09:00:17,502199.974,6782083.124,341.336,61.17453995,-146.9612543,345.49
ICE_0111,2004-07-08 12:00:17,502199.415,6782082.707,341.198,61.17453621,-146.9612647,345.351
ICE_0112,2004-07-08 15:00:17,502198.782,6782082.263,341.199,61.17453223,-146.9612765,345.352
ICE_0113,2004-07-08 18:00:17,502198.071,6782081.806,341.213,61.17452813,-146.9612897,345.366
ICE_0114,2004-07-08 21:00:17,502197.328,6782081.332,341.233,61.17452388,-146.9613035,345.386
ICE_0115,2004-07-09 00:00:17,502196.657,6782080.893,341.2,61.17451994,-146.961316,345.353
ICE_0116,2004-07-09 03:00:17,502196.014,6782080.46,341.17,61.17451606,-146.961328,345.324
ICE_0117,2004-07-09 06:00:17,502195.42,6782080.04,341.133,61.17451229,-146.961339,345.286
ICE_0118,2004-07-09 09:00:17,502194.874,6782079.653,341.153,61.17450882,-146.9613492,345.306
ICE_0119,2004-07-09 12:00:17,502194.397,6782079.3,341.059,61.17450565,-146.961358,345.213
ICE_0120,2004-07-09 15:00:17,502193.929,6782078.956,341.037,61.17450257,-146.9613667,345.19
ICE_0121,2004-07-09 18:00:17,502193.439,6782078.621,341.03,61.17449956,-146.9613759,345.184
ICE_0122,2004-07-09 21:00:17,502192.948,6782078.286,340.997,61.17449656,-146.961385,345.15
ICE_0123,2004-07-10 00:00:17,502192.5,6782077.976,340.965,61.17449377,-146.9613933,345.118
ICE_0124,2004-07-10 03:00:17,502192.108,6782077.668,340.947,61.17449101,-146.9614006,345.1
ICE_0125,2004-07-10 06:00:17,502191.729,6782077.4,340.922,61.17448861,-146.9614077,345.076
ICE_0126,2004-07-10 09:00:17,502191.362,6782077.152,340.901,61.17448639,-146.9614145,345.055
ICE_0127,2004-07-10 12:00:17,502191.017,6782076.914,340.867,61.17448424,-146.9614209,345.021
ICE_0128,2004-07-10 15:00:17,502190.641,6782076.66,340.847,61.17448198,-146.9614279,345
ICE_0129,2004-07-10 18:00:17,502190.257,6782076.39,340.833,61.17447954,-146.961435,344.986
ICE_0130,2004-07-10 21:00:17,502189.852,6782076.117,340.818,61.1744771,-146.9614426,344.971
ICE_0131,2004-07-11 00:00:17,502189.462,6782075.849,340.791,61.17447469,-146.9614498,344.945
ICE_0132,2004-07-11 03:00:17,502189.101,6782075.596,340.771,61.17447242,-146.9614565,344.925
ICE_0133,2004-07-11 06:00:17,502188.761,6782075.349,340.751,61.17447021,-146.9614629,344.905
ICE_0134,2004-07-11 09:00:17,502188.442,6782075.121,340.721,61.17446817,-146.9614688,344.875
ICE_0135,2004-07-11 12:00:17,502188.113,6782074.899,340.701,61.17446618,-146.9614749,344.855
