marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
555	9	14	17	20	290.1375	92.57194	1656.13	3446.662	5569.598	927.487
R1	9	14	17	20	359.98917	87.25278	131.906	4999.975	5131.754	1007.944
555	9	14	17	21	110.14	267.44	1656.128	3446.672	5569.667	927.836
R1	9	14	17	21	179.99194	272.75972	131.906	4999.982	5131.753	1007.972
555	9	14	17	30	290.13444	92.57167	1656.114	3446.644	5569.506	927.497
R1	9	14	17	30	359.98917	87.25278	131.906	4999.975	5131.754	1007.943
555	9	14	17	31	110.13472	267.44167	1656.113	3446.631	5569.519	927.886
R1	9	14	17	31	179.99167	272.76028	131.905	4999.981	5131.752	1007.973
555	9	14	17	40	290.13139	92.57278	1656.106	3446.624	5569.423	927.464
R1	9	14	17	40	359.99028	87.25333	131.905	4999.978	5131.754	1007.942
555	9	14	17	41	110.13278	267.4425	1656.105	3446.619	5569.464	927.907
R1	9	14	17	41	179.99194	272.76056	131.905	4999.981	5131.752	1007.974
555	9	14	17	50	290.14333	92.57306	1656.093	3446.755	5569.74	927.46
R1	9	14	17	50	0.00278	87.25417	131.905	5000.007	5131.754	1007.94
555	9	14	17	51	110.14389	267.44167	1656.092	3446.742	5569.759	927.884
R1	9	14	17	51	180.00333	272.76111	131.905	5000.008	5131.752	1007.975
555	9	14	18	0	290.14	92.5725	1656.081	3446.731	5569.645	927.478
R1	9	14	18	0	0.0025	87.25306	131.905	5000.006	5131.754	1007.943
555	9	14	18	1	110.1425	267.44194	1656.078	3446.742	5569.72	927.891
R1	9	14	18	1	180.00472	272.76083	131.905	5000.011	5131.752	1007.975
555	9	14	18	10	290.13611	92.57361	1656.068	3446.706	5569.533	927.446
R1	9	14	18	10	0.00083	87.25278	131.905	5000.002	5131.754	1007.944
555	9	14	18	11	110.13861	267.44	1656.071	3446.712	5569.61	927.837
R1	9	14	18	11	179.99917	272.76056	131.905	4999.998	5131.752	1007.974
555	9	14	18	20	290.135	92.57361	1656.06	3446.703	5569.504	927.442
R1	9	14	18	20	0.00139	87.25333	131.905	5000.003	5131.754	1007.942
555	9	14	18	21	110.13806	267.44028	1656.059	3446.717	5569.591	927.843
R1	9	14	18	21	180.00389	272.76	131.905	5000.009	5131.752	1007.973
555	9	14	18	30	290.13111	92.57222	1656.047	3446.674	5569.39	927.486
R1	9	14	18	30	0.00111	87.25389	131.905	5000.003	5131.754	1007.941
555	9	14	18	31	110.135	267.44	1656.047	3446.699	5569.504	927.839
R1	9	14	18	31	180.00278	272.76	131.905	5000.007	5131.752	1007.973
555	9	14	18	40	290.12972	92.57333	1656.034	3446.675	5569.351	927.451
R1	9	14	18	40	359.99944	87.25417	131.905	4999.999	5131.754	1007.94
555	9	14	18	41	110.13222	267.44056	1656.035	3446.681	5569.424	927.858
R1	9	14	18	41	180.00222	272.76056	131.905	5000.005	5131.752	1007.974
555	9	14	18	50	290.12722	92.57306	1656.027	3446.655	5569.28	927.46
R1	9	14	18	50	359.99944	87.25361	131.905	4999.999	5131.754	1007.942
555	9	14	18	51	110.13056	267.43972	1656.025	3446.675	5569.375	927.836
R1	9	14	18	51	180.00278	272.76111	131.905	5000.007	5131.752	1007.975
555	9	14	19	1	290.11889	92.57389	1656.014	3446.586	5569.046	927.435
R1	9	14	19	1	359.99472	87.25361	131.905	4999.988	5131.754	1007.942
555	9	14	19	1	110.12167	267.44	1656.014	3446.598	5569.134	927.842
R1	9	14	19	2	179.99611	272.76028	131.906	4999.991	5131.752	1007.974
555	9	14	19	10	290.11694	92.57278	1656.004	3446.577	5568.997	927.472
R1	9	14	19	10	359.99389	87.25194	131.906	4999.986	5131.754	1007.945
555	9	14	19	11	110.11833	267.44056	1656.005	3446.571	5569.036	927.86
R1	9	14	19	11	179.99667	272.76056	131.905	4999.992	5131.752	1007.974
555	9	14	19	20	290.10833	92.57222	1655.992	3446.499	5568.755	927.488
R1	9	14	19	20	359.98722	87.25278	131.906	4999.971	5131.754	1007.943
555	9	14	19	21	110.10972	267.44083	1655.99	3446.499	5568.797	927.87
R1	9	14	19	21	179.99	272.75972	131.905	4999.977	5131.752	1007.972
555	9	14	19	30	290.10806	92.57194	1655.98	3446.509	5568.745	927.495
R1	9	14	19	30	359.98917	87.25278	131.905	4999.975	5131.754	1007.943
555	9	14	19	31	110.10972	267.43944	1655.979	3446.513	5568.797	927.827
R1	9	14	19	31	179.99167	272.75972	131.905	4999.981	5131.752	1007.972
555	9	14	19	40	290.10444	92.57306	1655.972	3446.481	5568.643	927.462
R1	9	14	19	40	359.98889	87.25333	131.905	4999.974	5131.754	1007.942
555	9	14	19	41	110.10639	267.43972	1655.968	3446.488	5568.699	927.838
R1	9	14	19	41	179.99028	272.76028	131.905	4999.978	5131.752	1007.973
555	9	14	19	54	290.10028	92.57222	1655.955	3446.455	5568.525	927.492
R1	9	14	19	55	359.98806	87.25194	131.905	4999.973	5131.754	1007.946
555	9	14	19	55	110.10528	267.44028	1655.953	3446.493	5568.669	927.847
R1	9	14	19	55	179.99167	272.76028	131.905	4999.981	5131.752	1007.973
555	9	14	20	0	290.10111	92.57333	1655.952	3446.467	5568.547	927.458
R1	9	14	20	0	359.98972	87.25389	131.905	4999.976	5131.754	1007.941
555	9	14	20	1	110.10278	267.44028	1655.95	3446.468	5568.594	927.852
R1	9	14	20	1	179.99139	272.75917	131.905	4999.981	5131.752	1007.971
