id,t,x,y,z
4,169.3336806,496137.012681556,6776200.13399516,-49.9073507000001
4,169.3440972,496136.98818791,6776200.01307199,-49.8630927
4,169.3545139,496136.962564215,6776199.86305867,-49.8618819
4,169.3675347,496136.945858726,6776199.72874456,-49.8860186000001
4,169.3753472,496136.925931989,6776199.61729412,-49.9184838
4,169.3961806,496136.885224289,6776199.37559817,-49.8959822
4,169.4065972,496136.849586476,6776199.20487954,-49.8694015
4,169.4274306,496136.81623195,6776198.97412336,-49.9363098
4,169.4378472,496136.789233997,6776198.83550403,-49.9097566
4,169.4482639,496136.761075322,6776198.68633979,-49.8908235
4,169.4586806,496136.736067786,6776198.56041542,-49.8464362
4,169.4795139,496136.697549192,6776198.30728157,-49.9208649
4,169.4899306,496136.687214868,6776198.20319886,-49.9632296
4,169.5420139,496136.564268951,6776197.5326853,-49.9096575
4,169.5628472,496136.526785247,6776197.26581865,-49.9889746
4,169.5836806,496136.484252132,6776196.99269503,-50.0096176
4,169.5940972,496136.466760701,6776196.87769085,-50.003452
4,169.6982639,496136.242914469,6776195.50827369,-50.0535039
4,169.7022569,496136.231358437,6776195.44761263,-50.0198678
4,169.7086806,496136.226037158,6776195.39302232,-50.0473146
4,169.7503472,496136.117748992,6776194.78532273,-50.0478758
4,169.7711806,496136.084900076,6776194.54131565,-50.0583431
4,169.8545139,496135.906838383,6776193.46079259,-50.0750535
4,169.8649306,496135.878733941,6776193.31728519,-50.0971775
4,169.8753472,496135.864793731,6776193.20653034,-50.1241362
4,169.8857639,496135.838715226,6776193.06523871,-50.1180625
4,169.8961806,496135.8007731,6776192.90366338,-50.0457243
4,169.9536458,496135.698686267,6776192.23788924,-50.1243409
4,169.9690972,496135.661452957,6776192.0332031,-50.1253364
4,169.9795139,496135.630333723,6776191.88276943,-50.0989455
4,169.9899306,496135.606979801,6776191.75393814,-50.1005827
4,170.0003472,496135.58830454,6776191.62612211,-50.1249180999999
4,170.0315972,496135.535569925,6776191.27375047,-50.1345417
4,170.1253472,496135.329335315,6776190.05657729,-50.1609393
4,170.3545139,496134.848886014,6776187.02482826,-50.279036
4,170.5628472,496134.430659228,6776184.45696564,-50.3532518
4,170.5732639,496134.414931912,6776184.33388211,-50.3546639
4,170.5836806,496134.399963653,6776184.21584589,-50.3687927
4,170.5940972,496134.383971988,6776184.09546131,-50.3778814
4,170.6045139,496134.357950954,6776183.94647243,-50.3666966
4,170.6149306,496134.338757556,6776183.81917826,-50.3783067000001
4,170.6253472,496134.314995752,6776183.68003535,-50.3773643
4,170.6357639,496134.300954839,6776183.56181481,-50.3990712
4,170.6461806,496134.282981918,6776183.44471735,-50.408394
4,170.6565972,496134.262702667,6776183.30991702,-50.3945045
4,170.6670139,496134.230342532,6776183.14161868,-50.4036151
4,170.6774306,496134.21460139,6776183.0211002,-50.3846876
4,170.6878472,496134.200244225,6776182.90840183,-50.4040146
4,170.6982639,496134.175975439,6776182.74801561,-50.4154486
4,170.7086806,496134.154070515,6776182.61638511,-50.4093078
4,170.7190972,496134.133823674,6776182.48141966,-50.4158038
4,170.7295139,496134.11201757,6776182.33380171,-50.4324625
4,170.7399306,496134.09652997,6776182.21063831,-50.4235883
4,170.7503472,496134.073196555,6776182.07411989,-50.4302954
4,170.7607639,496134.055673031,6776181.9543368,-50.4522310999999
4,170.7711806,496134.035717014,6776181.81680529,-50.4586771
4,170.7815972,496134.015411265,6776181.68997411,-50.4398723
4,170.7920139,496133.991018213,6776181.52979332,-50.4436091
4,170.8128472,496133.954458378,6776181.29616059,-50.4366931
4,170.8232639,496133.9157402,6776181.10353683,-50.4202185
4,170.8336806,496133.895088899,6776180.9793479,-50.3963359000001
4,170.8440972,496133.887679586,6776180.88029577,-50.4385026
4,170.8545139,496133.863479866,6776180.7361444,-50.4221927
4,170.8649306,496133.839024963,6776180.60284701,-50.444244
4,170.8753472,496133.816942262,6776180.46848313,-50.394669
4,170.8857639,496133.809113856,6776180.3696855,-50.4676052999999
4,170.8961806,496133.781007901,6776180.22156107,-50.4818902
4,170.9065972,496133.760707139,6776180.08941383,-50.4833933
4,170.9170139,496133.734531761,6776179.95123357,-50.449373
4,170.9378472,496133.707070216,6776179.74143144,-50.4703171
4,170.9482639,496133.682586255,6776179.60280512,-50.4821041
4,170.9586806,496133.658098462,6776179.45611777,-50.4937701
4,170.9795139,496133.714146862,6776178.77614596,-50.8097913
4,170.9899306,496133.689866151,6776178.64010593,-50.8062814
4,171.0003472,496133.665289197,6776178.50148194,-50.7925624
4,171.0107639,496133.656128938,6776178.40580309,-50.773645
4,171.0211806,496133.628903,6776178.25740252,-50.770179
4,171.0315972,496133.60994822,6776178.13307652,-50.8048634
4,171.0420139,496133.589434081,6776178.01704115,-50.7759809
4,171.0524306,496133.579348477,6776177.91371856,-50.8181881
4,171.0628472,496133.553621824,6776177.76763164,-50.7968005
