marker,t,x,y,z_G,z_Q
9,1984-08-20T22:11:02Z,497765.838511774,6767140.41030733,154.376537059658,NA
9,1984-08-21T02:24:28Z,497765.810256247,6767138.9447275,154.32003557856,154.821186125607
9,1984-08-21T04:02:24Z,497765.81045515,6767138.39258025,154.299913912699,NA
9,1984-08-21T16:05:16Z,497765.811799053,6767134.66193214,154.168896646629,NA
9,1984-08-21T19:38:24Z,497765.812159389,6767133.66164765,154.132919502292,154.651971787286
9,1984-08-21T22:31:12Z,497765.810498694,6767132.87380584,154.103693321173,NA
9,1984-08-22T01:11:02Z,497765.808993455,6767132.15971209,154.076623915216,NA
9,1984-08-22T04:03:50Z,497765.80739771,6767131.40268222,154.047310285609,NA
9,1984-08-22T16:15:21Z,497765.801031876,6767128.38269717,153.926750438981,NA
9,1984-08-22T19:05:16Z,497765.799629649,6767127.71747388,153.899818451563,NA
9,1984-08-23T23:28:48Z,497765.786043931,6767121.27233665,153.634560637295,NA
9,1984-08-24T03:06:14Z,497765.784231076,6767120.41230883,153.597567014739,NA
9,1984-08-26T04:05:16Z,497765.757231407,6767107.60352392,152.970262157794,NA
9,1984-08-26T16:03:50Z,497765.750771109,6767104.5387246,152.797491255383,NA
9,1984-08-26T19:42:43Z,497765.748876537,6767103.6399287,152.746816825314,153.374766017349
9,1984-08-26T22:22:33Z,497765.747507012,6767102.99021887,152.712079882086,NA
9,1984-08-27T01:15:21Z,497765.746031796,6767102.29036879,152.677442064929,NA
9,1984-08-27T16:12:28Z,497765.738462023,6767098.69922933,152.554535286768,NA
9,1984-08-28T00:50:52Z,497765.734280628,6767096.7155538,152.511615761373,NA
9,1984-08-28T04:00:57Z,497765.732777689,6767096.00255093,152.485804868441,NA
9,1984-08-28T17:04:19Z,497765.726653645,6767093.09727231,152.30408173515,NA
9,1984-08-28T21:20:38Z,497765.724651687,6767092.14753274,152.224445358795,NA
9,1984-08-29T00:24:57Z,497765.72321352,6767091.46525894,152.163589388909,NA
9,1984-08-29T03:17:45Z,497765.721863938,6767090.8250105,152.104684601451,NA
9,1984-08-29T20:21:36Z,497765.713759565,6767086.98025194,151.726908077731,NA
9,1984-08-30T03:14:52Z,497765.710427401,6767085.3994562,151.55956814559,NA
9,1984-08-30T18:49:26Z,497765.702725069,6767081.74542938,151.205112193035,NA
9,1984-08-30T21:22:04Z,497765.701440646,6767081.13609269,151.157447725836,NA
9,1984-08-31T00:52:19Z,497765.699654817,6767080.28888601,151.098582901234,NA
9,1984-08-31T03:12:00Z,497765.698458427,6767079.72131235,151.063031363125,NA
9,1984-08-31T17:21:36Z,497765.691070821,6767076.21659351,150.887838783999,NA
9,1984-08-31T19:22:33Z,497765.690011597,6767075.71409208,150.866405758617,NA
9,1984-08-31T22:25:26Z,497765.688412626,6767074.95553095,150.834678899805,NA
9,1984-09-01T01:22:33Z,497765.686867636,6767074.22258007,150.804500724228,NA
9,1984-09-01T04:00:57Z,497765.68548876,6767073.5684332,150.777806505062,NA
9,1984-09-01T16:35:31Z,497765.678886254,6767070.43617025,150.6533755694,NA
9,1984-09-01T19:13:55Z,497765.677475835,6767069.76705971,150.627713792584,NA
9,1984-09-01T22:08:09Z,497765.6759122,6767069.02526329,150.599596113185,NA
9,1984-09-02T01:12:28Z,497765.674245594,6767068.23461649,150.569923768872,NA
9,1984-09-02T04:03:50Z,497765.672683786,6767067.49368648,150.54236331132,NA
9,1984-09-02T16:28:19Z,497765.665849764,6767064.25159065,150.420046217987,NA
9,1984-09-02T19:15:21Z,497765.664328852,6767063.53006219,150.391361783808,NA
9,1984-09-02T21:59:31Z,497765.662847555,6767062.82732689,150.362600024031,NA
9,1984-09-03T01:09:36Z,497765.661149395,6767062.02171118,150.328670984707,NA
9,1984-09-03T03:52:19Z,497765.659711096,6767061.33937388,150.299154122306,NA
9,1984-09-03T17:12:57Z,497765.652858121,6767058.08828592,150.149582332865,NA
9,1984-09-03T19:08:09Z,497765.651902881,6767057.63511584,150.12774413131,NA
