marker,t,x,y
11,1984-08-26T15:44:58Z,497597.466821238,6765119.32683005
11,1984-08-26T15:59:57Z,497597.452315857,6765119.23313368
11,1984-08-26T16:15:04Z,497597.437755774,6765119.13908397
11,1984-08-26T16:30:02Z,497597.423415785,6765119.04645594
11,1984-08-26T16:45:01Z,497597.409154309,6765118.95433505
11,1984-08-26T17:00:00Z,497597.394968828,6765118.86270505
11,1984-08-26T17:14:58Z,497597.38085682,6765118.77154965
11,1984-08-26T17:29:57Z,497597.366815773,6765118.68085261
11,1984-08-26T17:45:04Z,497597.352709141,6765118.58973192
11,1984-08-26T18:00:02Z,497597.33880308,6765118.49990681
11,1984-08-26T18:15:01Z,497597.3249604,6765118.41049111
11,1984-08-26T18:44:58Z,497597.297448381,6765118.23277939
11,1984-08-26T18:59:57Z,497597.283764752,6765118.14439106
11,1984-08-26T19:15:04Z,497597.269988239,6765118.05540276
11,1984-08-26T19:30:02Z,497597.256373628,6765117.96746024
11,1984-08-26T19:45:01Z,497597.242781973,6765117.87966601
11,1984-08-26T20:14:58Z,497597.215637265,6765117.70432691
11,1984-08-26T20:45:04Z,497597.188362989,6765117.52815086
11,1984-08-26T21:00:02Z,497597.174772433,6765117.44036374
11,1984-08-26T22:15:04Z,497597.106197759,6765116.99741102
11,1984-08-26T22:30:02Z,497597.092357965,6765116.90801395
11,1984-08-26T22:45:01Z,497597.07845017,6765116.81817766
11,1984-08-26T23:00:00Z,497597.06446785,6765116.72785995
11,1984-08-26T23:14:58Z,497597.050408616,6765116.63704543
11,1984-08-26T23:29:57Z,497597.036271119,6765116.54572538
11,1984-08-26T23:45:04Z,497597.021916915,6765116.45300553
11,1984-08-27T00:00:02Z,497597.007618058,6765116.36064319
11,1984-08-27T00:15:01Z,497596.993236879,6765116.26774909
11,1984-08-27T00:30:00Z,497596.978772026,6765116.17431451
11,1984-08-27T00:44:58Z,497596.964222152,6765116.08033074
11,1984-08-27T00:59:57Z,497596.949585903,6765115.98578905
11,1984-08-27T01:15:04Z,497596.934719929,6765115.88976346
11,1984-08-27T01:30:02Z,497596.919907994,6765115.79408692
11,1984-08-27T01:45:01Z,497596.905017413,6765115.69790239
11,1984-08-27T02:00:00Z,497596.89005863,6765115.60127729
11,1984-08-27T05:29:57Z,497596.679036514,6765114.23819653
11,1984-08-27T05:45:04Z,497596.66416815,6765114.14215549
11,1984-08-27T06:00:02Z,497596.649540976,6765114.04767241
11,1984-08-27T06:15:01Z,497596.635023389,6765113.95389719
11,1984-08-27T06:30:00Z,497596.620625829,6765113.86089729
11,1984-08-27T06:44:58Z,497596.606358738,6765113.76874014
11,1984-08-27T06:59:57Z,497596.592232559,6765113.6774932
11,1984-08-27T07:45:01Z,497596.550571107,6765113.40838432
11,1984-08-27T08:14:58Z,497596.523481453,6765113.23340083
11,1984-08-27T09:15:01Z,497596.470166037,6765112.88901408
11,1984-08-27T09:30:00Z,497596.457004886,6765112.80400066
