Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	23	12	21	174.5145833	105.56806	267.05972	1038.562	4000.85	5278.369	948.42
CGR1	6	23	12	30	174.5208333	359.985	87.23778	131.868	4999.966	5131.715	1007.976
444	6	23	12	30	174.5208333	285.55778	92.94806	1038.547	4000.821	5278.182	948.28
CGR1	6	23	12	31	174.5215278	179.98611	272.76889	131.869	4999.968	5131.715	1007.991
444	6	23	12	31	174.5215278	105.56111	267.05889	1038.547	4000.832	5278.243	948.404
CGR1	6	23	12	40	174.5277778	359.98778	87.23639	131.869	4999.972	5131.715	1007.979
444	6	23	12	40	174.5277778	285.55444	92.94361	1038.531	4000.816	5278.121	948.363
CGR1	6	23	12	41	174.5284722	179.99	272.76833	131.869	4999.977	5131.715	1007.99
444	6	23	12	41	174.5284722	105.5575	267.05944	1038.537	4000.823	5278.178	948.418
444	6	23	12	50	174.5347222	285.54833	92.94444	1038.52	4000.798	5278.011	948.349
CGR1	6	23	12	51	174.5354167	179.98944	272.76611	131.868	4999.976	5131.715	1007.985
444	6	23	12	51	174.5354167	105.55194	267.05917	1038.518	4000.814	5278.073	948.413
CGR1	6	23	13	0	174.5416667	359.98583	87.23639	131.869	4999.967	5131.715	1007.979
444	6	23	13	0	174.5416667	285.54389	92.94778	1038.502	4000.797	5277.93	948.289
CGR1	6	23	13	1	174.5423611	179.98778	272.77056	131.868	4999.972	5131.714	1007.995
444	6	23	13	1	174.5423611	105.54833	267.05889	1038.502	4000.812	5278.007	948.411
CGR1	6	23	13	10	174.5486111	359.98583	87.24083	131.869	4999.967	5131.716	1007.969
444	6	23	13	10	174.5486111	285.53944	92.94722	1038.488	4000.787	5277.845	948.3
CGR1	6	23	13	11	174.5493056	179.98667	272.76917	131.868	4999.969	5131.714	1007.992
444	6	23	13	11	174.5493056	105.54194	267.05889	1038.488	4000.794	5277.89	948.41
CGR1	6	23	13	20	174.5555556	359.98417	87.23833	131.868	4999.963	5131.715	1007.975
444	6	23	13	20	174.5555556	285.53306	92.94833	1038.476	4000.769	5277.73	948.278
CGR1	6	23	13	21	174.55625	179.985	272.77194	131.869	4999.966	5131.714	1007.998
444	6	23	13	21	174.55625	105.53667	267.05889	1038.474	4000.783	5277.799	948.411
CGR1	6	23	13	30	174.5625	359.98667	87.23917	131.868	4999.969	5131.715	1007.973
CGR1	6	23	13	31	174.5631944	179.98694	272.76833	131.868	4999.97	5131.714	1007.99
CGR1	6	23	13	40	174.5694444	359.98556	87.23667	131.868	4999.967	5131.715	1007.979
444	6	23	13	40	174.5694444	285.525	92.94917	1038.448	4000.758	5277.582	948.267
CGR1	6	23	13	41	174.5701389	179.98639	272.76833	131.868	4999.969	5131.714	1007.99
444	6	23	13	41	174.5701389	105.52722	267.05917	1038.448	4000.762	5277.624	948.416
CGR1	6	23	13	50	174.5763889	359.98333	87.24028	131.869	4999.962	5131.716	1007.97
444	6	23	13	50	174.5763889	285.51944	92.95083	1038.435	4000.746	5277.486	948.238
CGR1	6	23	13	51	174.5770833	179.98611	272.77028	131.868	4999.968	5131.714	1007.994
CGR1	6	23	14	0	174.5833333	359.98444	87.24111	131.868	4999.965	5131.715	1007.969
444	6	23	14	0	174.5833333	285.51694	92.94861	1038.423	4000.743	5277.438	948.278
CGR1	6	23	14	1	174.5840278	179.98639	272.77083	131.869	4999.969	5131.714	1007.996
444	6	23	14	1	174.5840278	105.51722	267.05722	1038.425	4000.737	5277.444	948.384
CGR1	6	23	14	10	174.5902778	359.98222	87.23722	131.869	4999.959	5131.715	1007.977
CGR1	6	23	14	11	174.5909722	179.98556	272.76861	131.868	4999.967	5131.714	1007.991
444	6	23	14	11	174.5909722	105.51194	267.05444	1038.417	4000.723	5277.35	948.334
CGR1	6	23	14	20	174.5972222	359.98417	87.23722	131.869	4999.964	5131.715	1007.978
CGR1	6	23	14	21	174.5979167	179.98639	272.7675	131.869	4999.969	5131.715	1007.988
CGR1	6	23	19	33	174.8145833	359.98472	87.24056	131.868	4999.965	5131.715	1007.97
444	6	23	19	34	174.8152778	285.35194	92.97806	1037.947	4000.433	5274.427	947.768
CGR1	6	23	19	34	174.8152778	179.985	272.76778	131.868	4999.966	5131.714	1007.989
CGR1	6	23	19	40	174.8194444	359.98528	87.24194	131.868	4999.966	5131.715	1007.967
444	6	23	19	40	174.8194444	285.34972	92.97861	1037.937	4000.432	5274.381	947.759
CGR1	6	23	19	41	174.8201389	179.98556	272.77306	131.868	4999.967	5131.713	1008.001
444	6	23	19	41	174.8201389	105.35167	267.03167	1037.934	4000.435	5274.418	947.944
CGR1	6	23	19	50	174.8263889	359.98694	87.2375	131.868	4999.97	5131.714	1007.976
444	6	23	19	50	174.8263889	285.34639	92.97583	1037.919	4000.431	5274.32	947.811
CGR1	6	23	19	51	174.8270833	179.98861	272.77	131.868	4999.974	5131.714	1007.994
CGR1	6	23	20	0	174.8333333	359.98917	87.23861	131.868	4999.975	5131.715	1007.974
CGR1	6	23	20	1	174.8340278	179.98972	272.76944	131.868	4999.976	5131.713	1007.993
CGR1	6	23	20	10	174.8402778	359.98806	87.23694	131.868	4999.972	5131.714	1007.978
CGR1	6	23	20	40	174.8611111	179.99	272.77083	131.868	4999.977	5131.714	1007.996
444	6	23	20	41	174.8618056	105.32167	267.02528	1037.834	4000.395	5273.869	947.836
CGR1	6	23	20	41	174.8618056	359.98778	87.23778	131.869	4999.972	5131.715	1007.976
444	6	23	20	42	174.8625	285.31944	92.98056	1037.844	4000.38	5273.831	947.728
CGR1	6	23	20	42	174.8625	179.98861	272.76889	131.868	4999.974	5131.714	1007.991
444	6	23	20	43	174.8631944	105.32139	267.02528	1037.838	4000.388	5273.863	947.836
CGR1	6	23	20	50	174.8680556	359.98667	87.23583	131.868	4999.969	5131.715	1007.98
444	6	23	20	50	174.8680556	285.31556	92.98083	1037.827	4000.376	5273.757	947.725
CGR1	6	23	20	51	174.86875	179.98944	272.77028	131.868	4999.976	5131.714	1007.995
CGR1	6	23	21	0	174.875	359.98611	87.23528	131.868	4999.968	5131.715	1007.982
CGR1	6	23	21	1	174.8756944	179.98806	272.7725	131.868	4999.973	5131.714	1008
444	6	23	21	1	174.8756944	105.31306	267.02611	1037.811	4000.374	5273.712	947.851
CGR1	6	23	21	10	174.8819444	359.98639	87.23639	131.868	4999.969	5131.715	1007.979
CGR1	6	23	21	11	174.8826389	179.98917	272.76861	131.868	4999.975	5131.714	1007.991
444	6	23	21	11	174.8826389	105.30667	267.02528	1037.795	4000.359	5273.593	947.835
CGR1	6	23	21	20	174.8888889	359.98639	87.23639	131.869	4999.969	5131.715	1007.979
CGR1	6	23	21	21	174.8895833	179.98806	272.77083	131.868	4999.973	5131.714	1007.996
444	6	23	21	21	174.8895833	105.30361	267.02667	1037.779	4000.359	5273.538	947.862
CGR1	6	23	21	30	174.8958333	359.98722	87.23417	131.868	4999.97	5131.715	1007.984
444	6	23	21	30	174.8958333	285.29389	92.98333	1037.766	4000.334	5273.362	947.684
CGR1	6	23	21	31	174.8965278	179.98833	272.76833	131.868	4999.974	5131.714	1007.99
444	6	23	21	31	174.8965278	105.29694	267.02528	1037.764	4000.344	5273.419	947.836
CGR1	6	23	21	40	174.9027778	359.98639	87.23861	131.869	4999.969	5131.715	1007.974
444	6	23	21	40	174.9027778	285.28889	92.9825	1037.745	4000.33	5273.273	947.7
CGR1	6	23	21	41	174.9034722	179.98722	272.76917	131.868	4999.97	5131.714	1007.992
444	6	23	21	41	174.9034722	105.29278	267.02222	1037.751	4000.339	5273.341	947.782
CGR1	6	23	21	50	174.9097222	359.98833	87.23556	131.869	4999.973	5131.715	1007.981
444	6	23	21	50	174.9097222	285.28417	92.98278	1037.734	4000.319	5273.187	947.694
CGR1	6	23	21	51	174.9104167	179.98917	272.77028	131.869	4999.975	5131.714	1007.995
CGR1	6	23	22	0	174.9166667	359.98611	87.23694	131.869	4999.968	5131.715	1007.978
444	6	23	22	0	174.9166667	285.27861	92.97944	1037.723	4000.3	5273.086	947.754
CGR1	6	23	22	1	174.9173611	179.98639	272.76639	131.869	4999.969	5131.715	1007.986
CGR1	6	23	22	10	174.9236111	359.98611	87.23861	131.868	4999.968	5131.715	1007.974
444	6	23	22	10	174.9236111	285.27333	92.98306	1037.709	4000.291	5272.988	947.692
CGR1	6	23	22	11	174.9243056	179.98583	272.77167	131.868	4999.967	5131.714	1007.998
444	6	23	22	11	174.9243056	105.27583	267.02056	1037.703	4000.305	5273.032	947.754
CGR1	6	23	22	20	174.9305556	359.98556	87.24139	131.869	4999.967	5131.716	1007.968
444	6	23	22	20	174.9305556	285.26944	92.98444	1037.691	4000.292	5272.919	947.664
CGR1	6	23	22	21	174.93125	179.98694	272.76889	131.868	4999.97	5131.714	1007.991
444	6	23	22	21	174.93125	105.27139	267.02222	1037.689	4000.297	5272.953	947.788
CGR1	6	23	22	30	174.9375	359.98417	87.23611	131.868	4999.963	5131.715	1007.98
444	6	23	22	30	174.9375	285.26444	92.98694	1037.677	4000.284	5272.827	947.624
CGR1	6	23	22	31	174.9381944	179.985	272.76694	131.868	4999.965	5131.714	1007.987
444	6	23	22	31	174.9381944	105.26528	267.0225	1037.672	4000.283	5272.84	947.791
CGR1	6	23	22	40	174.9444444	359.98611	87.23639	131.868	4999.968	5131.715	1007.979
444	6	23	22	40	174.9444444	285.26111	92.98611	1037.659	4000.285	5272.764	947.639
CGR1	6	23	22	41	174.9451389	179.98611	272.77222	131.868	4999.968	5131.713	1007.999
444	6	23	22	41	174.9451389	105.26222	267.02028	1037.658	4000.285	5272.785	947.753
CGR1	6	23	22	50	174.9513889	359.98611	87.24056	131.868	4999.968	5131.715	1007.969
444	6	23	22	50	174.9513889	285.25528	92.98778	1037.647	4000.27	5272.657	947.608
CGR1	6	23	22	51	174.9520833	179.98611	272.77111	131.868	4999.968	5131.714	1007.996
444	6	23	22	51	174.9520833	105.25694	267.02	1037.646	4000.271	5272.686	947.749
CGR1	6	23	23	0	174.9583333	359.98639	87.2375	131.868	4999.969	5131.715	1007.977
