marker	month	day	hour	min	dec date	Hz	 V	 Sd	 East	 North	 Elev
111	6	7	17	45	158.7395833	285.46833	92.71472	1058.172	3981.295	5281.907	951.576
333	6	7	17	46	158.7402778	283.3125	92.51222	1268.114	3767.138	5291.721	946.142
CGR1	6	7	17	46	158.7402778	180.00417	272.77222	131.886	5000.01	5131.732	1008
111	6	7	17	46	158.7402778	105.47028	267.29556	1058.168	3981.299	5281.942	951.77
333	6	7	17	47	158.7409722	103.31611	267.49861	1268.114	3767.147	5291.8	946.381
CGR1	6	7	18	0	158.75	0.00611	87.2375	131.887	5000.014	5131.733	1007.977
111	6	7	18	0	158.75	285.46194	92.71222	1058.152	3981.279	5281.786	951.627
333	6	7	18	1	158.7506944	283.30833	92.51139	1268.095	3767.134	5291.628	946.167
CGR1	6	7	18	1	158.7506944	180.00528	272.77306	131.886	5000.012	5131.732	1008.002
111	6	7	18	1	158.7506944	105.46194	267.29972	1058.149	3981.273	5281.79	951.845
333	6	7	18	2	158.7513889	103.31	267.49694	1268.092	3767.137	5291.662	946.35
CGR1	6	7	18	15	158.7604167	0.005	87.23722	131.887	5000.011	5131.733	1007.978
111	6	7	18	15	158.7604167	285.455	92.7125	1058.131	3981.266	5281.658	951.619
333	6	7	18	15	158.7604167	283.3025	92.51139	1268.074	3767.125	5291.493	946.163
CGR1	6	7	18	16	158.7611111	180.00278	272.77083	131.887	5000.007	5131.733	1007.997
111	6	7	18	16	158.7611111	105.45694	267.29417	1058.13	3981.271	5281.693	951.747
333	6	7	18	17	158.7618056	103.30472	267.49528	1268.073	3767.13	5291.544	946.315
CGR1	6	7	18	17	158.7618056	0.00611	87.23833	131.887	5000.014	5131.734	1007.975
111	6	7	18	17	158.7618056	285.4525	92.71528	1058.129	3981.259	5281.614	951.57
333	6	7	18	18	158.7625	283.30194	92.5125	1268.071	3767.126	5291.482	946.138
CGR1	6	7	18	18	158.7625	180.00389	272.77111	131.887	5000.009	5131.732	1007.998
111	6	7	18	19	158.7631944	105.45556	267.29389	1058.125	3981.27	5281.671	951.741
333	6	7	18	19	158.7631944	103.30417	267.49667	1268.071	3767.129	5291.535	946.345
CGR1	6	7	18	30	158.7708333	0.00111	87.23889	131.887	5000.002	5131.733	1007.974
111	6	7	18	30	158.7708333	285.4475	92.71583	1058.112	3981.25	5281.52	951.558
333	6	7	18	31	158.7715278	283.29583	92.51361	1268.058	3767.11	5291.35	946.117
CGR1	6	7	18	31	158.7715278	180.00333	272.77556	131.886	5000.008	5131.731	1008.008
333	6	7	18	32	158.7722222	103.29778	267.49639	1268.056	3767.112	5291.392	946.339
CGR1	6	7	18	45	158.78125	0.00111	87.23861	131.886	5000.002	5131.733	1007.975
111	6	7	18	45	158.78125	285.44222	92.71444	1058.093	3981.243	5281.423	951.586
333	6	7	18	46	158.7819444	283.29028	92.5125	1268.039	3767.099	5291.226	946.143
CGR1	6	7	18	46	158.7819444	180.00417	272.77361	131.886	5000.01	5131.732	1008.003
111	6	7	18	46	158.7819444	105.44306	267.29583	1058.092	3981.239	5281.439	951.775
333	6	7	18	47	158.7826389	103.2925	267.50028	1268.036	3767.101	5291.277	946.428
CGR1	6	7	19	0	158.7916667	0.00333	87.23861	131.886	5000.008	5131.733	1007.975
111	6	7	19	0	158.7916667	285.435	92.71556	1058.072	3981.228	5281.286	951.565
333	6	7	19	1	158.7923611	283.28556	92.51444	1268.017	3767.098	5291.119	946.098
CGR1	6	7	19	1	158.7923611	180.00389	272.77611	131.886	5000.009	5131.731	1008.009
111	6	7	19	1	158.7923611	105.43667	267.295	1058.067	3981.231	5281.316	951.763
333	6	7	19	2	158.7930556	103.28722	267.49806	1268.016	3767.095	5291.157	946.379
CGR1	6	7	19	15	158.8020833	0.00417	87.23944	131.886	5000.01	5131.733	1007.973
111	6	7	19	15	158.8020833	285.42806	92.71472	1058.049	3981.215	5281.158	951.584
333	6	7	19	16	158.8027778	283.28194	92.51333	1267.996	3767.1	5291.039	946.125
CGR1	6	7	19	16	158.8027778	180.005	272.77306	131.886	5000.011	5131.732	1008.002
111	6	7	19	16	158.8027778	105.43111	267.295	1058.045	3981.225	5281.212	951.762
333	6	7	19	17	158.8034722	103.28306	267.49611	1267.993	3767.099	5291.064	946.333
CGR1	6	7	19	30	158.8125	0.00361	87.23972	131.886	5000.008	5131.733	1007.973
111	6	7	19	30	158.8125	285.42139	92.71528	1058.03	3981.201	5281.033	951.573
333	6	7	19	31	158.8131944	283.27417	92.51361	1267.974	3767.08	5290.864	946.118
CGR1	6	7	19	31	158.8131944	180.00361	272.77306	131.886	5000.008	5131.731	1008.002
111	6	7	19	31	158.8131944	105.42361	267.29694	1058.025	3981.207	5281.077	951.799
333	6	7	19	32	158.8138889	103.27722	267.49861	1267.974	3767.084	5290.931	946.393
CGR1	6	7	19	45	158.8229167	0.00472	87.23778	131.886	5000.011	5131.733	1007.977
111	6	7	19	45	158.8229167	285.41472	92.71417	1058.008	3981.188	5280.908	951.594
CGR1	6	7	19	46	158.8236111	180.0025	272.77333	131.886	5000.006	5131.731	1008.003
111	6	7	19	46	158.8236111	105.41722	267.29444	1058.005	3981.197	5280.957	951.756
333	6	7	19	47	158.8243056	103.2725	267.49722	1267.954	3767.081	5290.824	946.364
CGR1	6	7	20	0	158.8333333	0.00361	87.23944	131.886	5000.008	5131.733	1007.973
111	6	7	20	0	158.8333333	285.40944	92.71778	1057.987	3981.185	5280.807	951.532
333	6	7	20	1	158.8340278	283.26389	92.51361	1267.933	3767.069	5290.635	946.119
CGR1	6	7	20	1	158.8340278	180.00417	272.77806	131.886	5000.01	5131.731	1008.014
111	6	7	20	1	158.8340278	105.41194	267.29667	1057.981	3981.192	5280.857	951.798
333	6	7	20	2	158.8347222	103.26583	267.49917	1267.931	3767.068	5290.678	946.406
CGR1	6	7	20	15	158.84375	0.00444	87.23722	131.886	5000.01	5131.732	1007.978
111	6	7	20	15	158.84375	285.40083	92.71694	1057.964	3981.164	5280.648	951.547
333	6	7	20	16	158.8444444	283.26	92.51167	1267.914	3767.065	5290.546	946.167
CGR1	6	7	20	16	158.8444444	180.00528	272.77417	131.886	5000.012	5131.731	1008.005
111	6	7	20	16	158.8444444	105.40389	267.29361	1057.965	3981.17	5280.706	951.74
333	6	7	20	17	158.8451389	103.26361	267.4975	1267.911	3767.078	5290.625	946.367
CGR1	6	7	20	30	158.8541667	0.00556	87.23611	131.886	5000.013	5131.733	1007.981
111	6	7	20	30	158.8541667	285.39472	92.71722	1057.943	3981.156	5280.537	951.544
333	6	7	20	31	158.8548611	283.25389	92.51306	1267.893	3767.056	5290.409	946.137
CGR1	6	7	20	31	158.8548611	180.00333	272.77167	131.886	5000.008	5131.731	1007.999
111	6	7	20	31	158.8548611	105.39833	267.29333	1057.941	3981.165	5280.601	951.738
333	6	7	20	32	158.8555556	103.25667	267.49694	1267.892	3767.06	5290.468	946.359
CGR1	6	7	20	45	158.8645833	0.00167	87.23806	131.886	5000.004	5131.733	1007.976
111	6	7	20	45	158.8645833	285.38806	92.71611	1057.924	3981.141	5280.414	951.563
