Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	18	21	1	169.8756944	179.99333	272.77222	131.869	4999.985	5131.714	1007.999
444	6	18	21	1	169.8756944	108.74833	267.26806	1049.045	4007.74	5336.794	951.696
CGR1	6	18	21	15	169.8854167	359.99083	87.23639	131.869	4999.979	5131.716	1007.979
444	6	18	21	15	169.8854167	288.73861	92.73806	1049.021	4007.71	5336.615	951.585
CGR1	6	18	21	16	169.8861111	179.99222	272.76972	131.869	4999.982	5131.715	1007.993
444	6	18	21	16	169.8861111	108.74056	267.2675	1049.025	4007.714	5336.655	951.687
CGR1	6	18	21	30	169.8958333	359.98972	87.23722	131.869	4999.976	5131.716	1007.977
444	6	18	21	30	169.8958333	288.72944	92.73278	1049.004	4007.668	5336.454	951.683
CGR1	6	18	21	31	169.8965278	179.99222	272.76806	131.869	4999.982	5131.715	1007.99
444	6	18	21	31	169.8965278	108.73056	267.27	1049.002	4007.674	5336.475	951.733
CGR1	6	18	22	15	169.9270833	359.99194	87.23722	131.869	4999.981	5131.716	1007.977
CGR1	6	18	22	16	169.9277778	179.99167	272.76917	131.869	4999.981	5131.715	1007.992
CGR1	6	18	22	30	169.9375	359.99111	87.23972	131.869	4999.98	5131.716	1007.971
CGR1	6	18	22	52	169.9527778	179.99333	272.76944	131.869	4999.984	5131.715	1007.993
444	6	18	22	52	169.9527778	108.6975	267.26861	1048.892	4007.586	5335.865	951.71
CGR1	6	18	22	53	169.9534722	359.99194	87.23833	131.869	4999.982	5131.716	1007.975
444	6	18	22	53	169.9534722	288.69444	92.73917	1048.888	4007.578	5335.811	951.571
CGR1	6	18	22	53	169.9534722	179.9925	272.76944	131.869	4999.983	5131.715	1007.993
444	6	18	22	54	169.9541667	108.69556	267.26722	1048.887	4007.58	5335.829	951.685
CGR1	6	18	23	0	169.9583333	359.99139	87.23861	131.869	4999.98	5131.716	1007.974
444	6	18	23	0	169.9583333	288.68917	92.74056	1048.876	4007.561	5335.716	951.544
CGR1	6	18	23	1	169.9590278	179.99167	272.77139	131.869	4999.981	5131.714	1007.997
CGR1	6	18	23	15	169.96875	359.99083	87.23917	131.869	4999.979	5131.715	1007.973
444	6	18	23	15	169.96875	288.6825	92.73944	1048.858	4007.536	5335.592	951.566
CGR1	6	18	23	16	169.9694444	179.99194	272.76972	131.869	4999.982	5131.714	1007.993
444	6	18	23	16	169.9694444	108.68333	267.26722	1048.855	4007.538	5335.608	951.687
CGR1	6	18	23	30	169.9791667	359.99167	87.23833	131.869	4999.981	5131.716	1007.975
444	6	18	23	30	169.9791667	288.67389	92.73917	1048.835	4007.508	5335.439	951.571
CGR1	6	18	23	31	169.9798611	179.99139	272.77167	131.869	4999.981	5131.714	1007.998
444	6	18	23	31	169.9798611	108.67556	267.26972	1048.837	4007.508	5335.467	951.735
CGR1	6	18	23	45	169.9895833	359.99083	87.23889	131.869	4999.979	5131.716	1007.974
444	6	18	23	45	169.9895833	288.66583	92.73806	1048.816	4007.479	5335.293	951.593
CGR1	6	18	23	46	169.9902778	179.99083	272.76889	131.869	4999.979	5131.715	1007.991
444	6	18	23	46	169.9902778	108.66806	267.26833	1048.817	4007.484	5335.329	951.709
CGR1	6	19	0	0	170	359.99222	87.23722	131.869	4999.982	5131.715	1007.978
444	6	19	0	0	170	288.66	92.73944	1048.795	4007.464	5335.182	951.57
CGR1	6	19	0	1	170.0006944	179.99111	272.76833	131.869	4999.98	5131.715	1007.99
444	6	19	0	1	170.0006944	108.66167	267.26694	1048.793	4007.471	5335.214	951.688
CGR1	6	19	0	15	170.0104167	359.99028	87.23917	131.869	4999.977	5131.716	1007.973
444	6	19	0	15	170.0104167	288.65444	92.74083	1048.774	4007.453	5335.079	951.545
CGR1	6	19	0	16	170.0111111	179.99056	272.76917	131.869	4999.978	5131.715	1007.992
CGR1	6	19	0	30	170.0208333	359.98972	87.23722	131.869	4999.976	5131.715	1007.977
444	6	19	0	30	170.0208333	288.64611	92.73972	1048.753	4007.424	5334.931	951.564
CGR1	6	19	0	31	170.0215278	179.98944	272.77	131.869	4999.976	5131.714	1007.994
CGR1	6	19	0	45	170.03125	359.98972	87.23806	131.869	4999.976	5131.715	1007.976
444	6	19	0	45	170.03125	288.63833	92.73944	1048.73	4007.399	5334.787	951.57
CGR1	6	19	0	46	170.0319444	179.99167	272.76861	131.869	4999.981	5131.715	1007.991
