Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	17	23	15	168.96875	289.38389	92.71083	1051.068	4009.613	5348.458	951.984
CGR1	6	17	23	16	168.9694444	179.985	272.77194	131.869	4999.966	5131.715	1007.999
444	6	17	23	16	168.9694444	109.38667	267.29639	1051.069	4009.623	5348.508	952.119
CGR1	6	17	23	30	168.9791667	359.98611	87.23639	131.87	4999.968	5131.716	1007.98
CGR1	6	17	23	31	168.9798611	179.98694	272.77139	131.87	4999.97	5131.715	1007.997
444	6	17	23	31	168.9798611	109.37833	267.30111	1051.051	4009.587	5348.361	952.203
CGR1	6	17	23	45	168.9895833	359.98444	87.2375	131.87	4999.964	5131.716	1007.977
444	6	17	23	45	168.9895833	289.36889	92.71	1051.024	4009.562	5348.184	952
CGR1	6	17	23	46	168.9902778	179.98472	272.76972	131.87	4999.965	5131.716	1007.993
444	6	17	23	46	168.9902778	109.37139	267.29861	1051.024	4009.571	5348.232	952.159
CGR1	6	18	0	0	169	359.98528	87.23917	131.869	4999.966	5131.716	1007.973
CGR1	6	18	0	1	169.0006944	179.98444	272.77194	131.869	4999.964	5131.715	1007.999
444	6	18	0	1	169.0006944	109.36306	267.2975	1050.996	4009.547	5348.075	952.139
CGR1	6	18	0	15	169.0104167	359.98556	87.23583	131.87	4999.967	5131.716	1007.981
444	6	18	0	15	169.0104167	289.35167	92.70861	1050.977	4009.501	5347.871	952.028
CGR1	6	18	0	16	169.0111111	179.98472	272.76833	131.87	4999.965	5131.716	1007.99
444	6	18	0	16	169.0111111	109.35528	267.29722	1050.973	4009.523	5347.935	952.136
CGR1	6	18	0	30	169.0208333	359.985	87.23583	131.87	4999.965	5131.716	1007.981
444	6	18	0	30	169.0208333	289.3475	92.71278	1050.952	4009.503	5347.79	951.955
CGR1	6	18	0	31	169.0215278	179.98528	272.77083	131.87	4999.966	5131.715	1007.996
444	6	18	0	31	169.0215278	109.34694	267.29667	1050.95	4009.494	5347.781	952.126
CGR1	6	18	0	45	169.03125	359.98417	87.23639	131.87	4999.964	5131.717	1007.979
444	6	18	0	45	169.03125	289.34111	92.71194	1050.929	4009.485	5347.671	951.972
CGR1	6	18	0	46	169.0319444	179.98444	272.7725	131.87	4999.964	5131.716	1008
444	6	18	0	46	169.0319444	109.34167	267.29333	1050.931	4009.482	5347.684	952.067
CGR1	6	18	1	0	169.0416667	359.985	87.23833	131.869	4999.966	5131.716	1007.975
444	6	18	1	0	169.0416667	289.33278	92.71056	1050.904	4009.456	5347.518	951.996
CGR1	6	18	1	1	169.0423611	179.98389	272.77222	131.87	4999.963	5131.715	1007.999
444	6	18	1	1	169.0423611	109.33444	267.29639	1050.901	4009.464	5347.551	952.125
CGR1	6	18	1	15	169.0520833	359.98389	87.23833	131.869	4999.963	5131.716	1007.975
444	6	18	1	15	169.0520833	289.32333	92.71278	1050.882	4009.422	5347.35	951.958
CGR1	6	18	1	16	169.0527778	179.98361	272.77222	131.869	4999.962	5131.715	1007.999
444	6	18	1	16	169.0527778	109.32583	267.29528	1050.878	4009.434	5347.393	952.106
CGR1	6	18	1	30	169.0625	359.98472	87.23806	131.87	4999.965	5131.716	1007.975
444	6	18	1	30	169.0625	289.31583	92.7125	1050.856	4009.4	5347.208	951.963
CGR1	6	18	1	31	169.0631944	179.98444	272.77167	131.869	4999.964	5131.715	1007.998
444	6	18	1	31	169.0631944	109.31889	267.29472	1050.855	4009.415	5347.267	952.097
CGR1	6	18	1	45	169.0729167	359.98528	87.23472	131.87	4999.966	5131.716	1007.983
444	6	18	1	45	169.0729167	289.30889	92.71361	1050.831	4009.383	5347.08	951.945
CGR1	6	18	1	46	169.0736111	179.98306	272.77361	131.869	4999.961	5131.715	1008.002
444	6	18	1	46	169.0736111	109.30889	267.29611	1050.835	4009.373	5347.088	952.122
CGR1	6	18	2	0	169.0833333	359.98389	87.23528	131.869	4999.963	5131.716	1007.982
CGR1	6	18	2	1	169.0840278	179.98556	272.77	131.869	4999.967	5131.715	1007.994
444	6	18	2	1	169.0840278	109.30417	267.29083	1050.801	4009.379	5346.992	952.03
CGR1	6	18	2	15	169.09375	359.98694	87.23722	131.87	4999.97	5131.716	1007.978
444	6	18	2	15	169.09375	289.29417	92.71528	1050.783	4009.342	5346.812	951.917
CGR1	6	18	2	16	169.0944444	179.98444	272.77139	131.869	4999.964	5131.715	1007.997
444	6	18	2	16	169.0944444	109.29444	267.29583	1050.786	4009.331	5346.821	952.119
CGR1	6	18	2	30	169.1041667	359.98472	87.2375	131.869	4999.965	5131.716	1007.977
