t,x,y,z
2009-05-11T10:34:15Z,497606.464346525,6778020.33789977,924.711798340648
2009-05-11T10:49:15Z,497606.39619594,6778020.19977244,924.801162037353
2009-05-11T11:04:15Z,497606.374482127,6778020.03966993,924.735745499075
2009-05-11T11:19:15Z,497606.273161171,6778019.9069531,924.735040352737
2009-05-11T11:34:15Z,497606.190830728,6778019.76932516,924.758123436035
2009-05-11T11:49:15Z,497606.063726436,6778019.63991953,924.767832698393
2009-05-11T12:04:15Z,497605.982279876,6778019.49688719,924.743422117371
2009-05-11T12:19:15Z,497605.974517832,6778019.33027249,924.763236815936
2009-05-11T12:34:15Z,497605.821145102,6778019.21864603,924.784536955826
2009-05-11T12:49:15Z,497605.711668033,6778019.08287243,924.784046409277
2009-05-11T13:04:15Z,497605.664003357,6778018.92558802,924.715495188046
2009-05-11T13:19:15Z,497605.51411813,6778018.80556234,924.689404630237
2009-05-11T13:34:15Z,497605.376129809,6778018.67821715,924.660036728677
2009-05-11T13:49:15Z,497605.317648218,6778018.52603368,924.627199106822
2009-05-11T14:04:15Z,497605.214657593,6778018.38276145,924.548648681336
2009-05-11T14:19:15Z,497605.065044864,6778018.25805004,924.539767507016
2009-05-12T04:52:00Z,497599.383208902,6778009.91381663,924.098819712179
2009-05-12T05:04:15Z,497599.34560164,6778009.81235111,924.135223063309
2009-05-12T05:19:15Z,497599.21989833,6778009.68210714,924.216107054225
2009-05-12T05:34:15Z,497599.141957171,6778009.52415534,924.116301719805
2009-05-12T05:49:15Z,497599.025324218,6778009.39431396,924.178430300752
2009-05-12T06:04:15Z,497598.916144512,6778009.24680345,924.065110382615
2009-05-12T06:19:00Z,497598.828722935,6778009.09240355,923.987332219228
2009-05-12T06:34:00Z,497598.731325225,6778008.94277418,923.982273418366
2009-05-12T06:49:15Z,497598.600221464,6778008.81746934,924.024104750946
2009-05-12T07:04:15Z,497598.602072859,6778008.63966683,923.951185956968
2009-05-12T07:19:15Z,497598.497832685,6778008.50145198,924.013459511129
2009-05-12T07:34:15Z,497598.432270387,6778008.34574929,924.004850507915
2009-05-12T07:49:15Z,497598.313406261,6778008.21433644,924.0365965733
2009-05-12T08:04:15Z,497598.255528293,6778008.06558926,924.130795866835
2009-05-12T08:19:15Z,497598.089431053,6778007.95789782,924.30258983363
2009-05-12T08:34:15Z,497598.04049583,6778007.79594953,924.200989780991
2009-05-12T08:49:15Z,497597.970472272,6778007.64811095,924.269910914067
2009-05-12T09:04:15Z,497597.862884054,6778007.51300883,924.201877900318
2009-05-12T09:19:15Z,497597.806646252,6778007.36378105,924.272360050711
2009-05-12T09:34:15Z,497597.780430366,6778007.20056232,924.324383852544
2009-05-12T09:49:15Z,497597.709765267,6778007.05608488,924.418511373412
2009-05-12T10:04:15Z,497597.569368658,6778006.92921564,924.411436232722
2009-05-12T10:19:00Z,497597.571599297,6778006.76060834,924.461594882417
2009-05-12T10:34:15Z,497597.422233611,6778006.63877492,924.54231021283
2009-05-12T10:49:15Z,497597.374401484,6778006.48538296,924.541821628336
2009-05-12T11:04:15Z,497597.255784423,6778006.34639051,924.622772015666
2009-05-12T11:19:15Z,497597.209957276,6778006.19365837,924.628986946056
2009-05-12T11:34:15Z,497597.113030355,6778006.05564445,924.718059093709
2009-05-12T11:49:15Z,497597.002006547,6778005.9126872,924.687554687459
2009-05-12T12:04:15Z,497596.924957406,6778005.76228699,924.650155782953
2009-05-12T12:19:15Z,497596.853216083,6778005.60913826,924.653329470106
2009-05-12T12:34:15Z,497596.729493776,6778005.47331343,924.680146750717
2009-05-12T12:49:15Z,497596.663426793,6778005.31583672,924.6243146131
2009-05-12T13:04:15Z,497596.524784939,6778005.17255244,924.617827331913
