Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
CGR1	155.115	179.998	272.773	131.884	1.620	4999.995	5131.729	1008.002
CGR1	155.116	359.999	87.236	131.884	1.620	4999.997	5131.730	1007.980
CGR1	155.116	179.999	272.774	131.884	1.620	4999.998	5131.729	1008.004
CGR1	155.117	0.000	87.236	131.884	1.620	5000.000	5131.730	1007.980
CGR1	155.117	179.998	272.774	131.884	1.620	4999.996	5131.729	1008.005
CGR1	155.125	359.998	87.235	131.884	1.620	4999.996	5131.730	1007.982
CGR1	155.126	179.999	272.773	131.884	1.620	4999.997	5131.729	1008.002
CGR1	155.126	359.999	87.235	131.884	1.620	4999.998	5131.730	1007.984
CGR1	155.126	179.999	272.774	131.883	1.620	4999.998	5131.729	1008.003
CGR1	155.128	359.999	87.236	131.884	1.620	4999.998	5131.730	1007.982
CGR1	155.128	179.998	272.774	131.884	1.620	4999.995	5131.729	1008.003
CGR1	155.135	359.999	87.236	131.884	1.620	4999.998	5131.730	1007.981
CGR1	155.136	179.998	272.774	131.884	1.620	4999.996	5131.729	1008.004
CGR1	155.137	359.999	87.235	131.884	1.620	4999.998	5131.730	1007.983
CGR1	155.137	179.998	272.774	131.884	1.620	4999.995	5131.729	1008.005
CGR1	155.138	359.999	87.236	131.884	1.620	4999.997	5131.730	1007.982
CGR1	155.138	179.998	272.775	131.883	1.620	4999.996	5131.729	1008.006
CGR1	155.146	359.998	87.236	131.883	1.620	4999.994	5131.730	1007.982
CGR1	155.147	179.999	272.774	131.884	1.620	4999.998	5131.729	1008.003
CGR1	155.147	359.998	87.235	131.884	1.620	4999.995	5131.730	1007.982
CGR1	155.147	179.999	272.774	131.883	1.620	4999.997	5131.729	1008.004
CGR1	155.149	359.999	87.237	131.884	1.620	4999.998	5131.730	1007.979
CGR1	155.149	179.998	272.775	131.884	1.620	4999.995	5131.729	1008.007
CGR1	155.156	359.998	87.236	131.884	1.620	4999.996	5131.730	1007.981
CGR1	155.157	179.998	272.774	131.884	1.620	4999.994	5131.729	1008.003
CGR1	155.158	359.998	87.235	131.884	1.620	4999.996	5131.730	1007.982
CGR1	155.158	179.999	272.774	131.883	1.620	4999.999	5131.729	1008.004
CGR1	155.159	359.997	87.236	131.884	1.620	4999.994	5131.730	1007.982
CGR1	155.159	179.998	272.774	131.884	1.620	4999.995	5131.729	1008.004
CGR1	155.167	359.998	87.236	131.884	1.620	4999.996	5131.730	1007.981
CGR1	155.167	179.997	272.775	131.883	1.620	4999.994	5131.729	1008.007
CGR1	155.168	359.998	87.235	131.883	1.620	4999.995	5131.730	1007.982
CGR1	155.168	180.000	272.774	131.883	1.620	4999.999	5131.729	1008.004
CGR1	155.169	359.998	87.236	131.883	1.620	4999.995	5131.730	1007.982
CGR1	155.169	179.998	272.774	131.884	1.620	4999.996	5131.729	1008.004
CGR1	155.177	359.998	87.236	131.884	1.620	4999.997	5131.730	1007.980
CGR1	155.178	179.997	272.776	131.884	1.620	4999.992	5131.729	1008.008
CGR1	155.178	359.998	87.235	131.884	1.620	4999.996	5131.730	1007.984
CGR1	155.178	179.998	272.774	131.884	1.620	4999.994	5131.729	1008.004
CGR1	155.180	359.999	87.236	131.884	1.620	4999.997	5131.730	1007.980
CGR1	155.180	179.998	272.774	131.883	1.620	4999.995	5131.729	1008.005
CGR1	155.188	359.999	87.235	131.884	1.620	4999.997	5131.730	1007.984
CGR1	155.188	179.999	272.773	131.884	1.620	4999.997	5131.729	1008.002
CGR1	155.189	359.999	87.235	131.884	1.620	4999.997	5131.730	1007.983
CGR1	155.189	179.999	272.772	131.883	1.620	4999.997	5131.729	1008.000
CGR1	155.190	0.000	87.235	131.884	1.620	5000.000	5131.730	1007.983
CGR1	155.190	179.998	272.774	131.884	1.620	4999.996	5131.729	1008.005
CGR1	155.198	359.999	87.236	131.884	1.620	4999.997	5131.730	1007.982
CGR1	155.199	179.999	272.774	131.884	1.620	4999.997	5131.729	1008.003
CGR1	155.199	359.997	87.235	131.883	1.620	4999.994	5131.730	1007.984
CGR1	155.199	179.998	272.774	131.883	1.620	4999.994	5131.729	1008.003
CGR1	155.201	359.998	87.235	131.884	1.620	4999.996	5131.730	1007.982
CGR1	155.201	179.998	272.774	131.883	1.620	4999.996	5131.729	1008.003
CGR1	155.208	359.999	87.235	131.884	1.620	4999.998	5131.730	1007.983
CGR1	155.209	179.997	272.774	131.883	1.620	4999.993	5131.729	1008.005
CGR1	155.210	359.999	87.236	131.884	1.620	4999.998	5131.730	1007.982
CGR1	155.210	179.998	272.774	131.883	1.620	4999.996	5131.729	1008.004
