
Project:     S1R1 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 17:58:58
63-K  18:23:30.00  5/18/2010   503763.156  6784056.550  301.724   0.032   0.028 2
64-K  18:24:00.00  5/18/2010   503763.153  6784056.550  301.724   0.032   0.028 2
65-K  18:24:30.00  5/18/2010   503763.150  6784056.546  301.726   0.032   0.028 2
66-K  18:25:00.00  5/18/2010   503763.147  6784056.543  301.723   0.032   0.028 2
67-K  18:25:30.00  5/18/2010   503763.144  6784056.542  301.721   0.032   0.028 2
68-K  18:26:00.00  5/18/2010   503763.141  6784056.544  301.724   0.032   0.028 2
69-K  18:26:30.00  5/18/2010   503763.137  6784056.541  301.722   0.032   0.028 2
70-K  18:27:00.00  5/18/2010   503763.133  6784056.540  301.729   0.032   0.028 2
71-K  18:27:30.00  5/18/2010   503763.132  6784056.534  301.726   0.032   0.028 2
72-K  18:28:00.00  5/18/2010   503763.128  6784056.536  301.727   0.032   0.028 2
73-K  18:28:30.00  5/18/2010   503763.126  6784056.535  301.734   0.032   0.028 2
74-K  18:29:00.00  5/18/2010   503763.123  6784056.533  301.734   0.032   0.028 2
75-K  18:29:30.00  5/18/2010   503763.123  6784056.529  301.734   0.032   0.028 2
76-K  18:30:00.00  5/18/2010   503763.119  6784056.528  301.734   0.032   0.028 2
77-K  18:30:30.00  5/18/2010   503763.118  6784056.525  301.735   0.032   0.028 2
78-K  18:31:00.00  5/18/2010   503763.116  6784056.522  301.738   0.032   0.028 2
79-K  18:31:30.00  5/18/2010   503763.115  6784056.521  301.743   0.032   0.028 2
80-K  18:32:00.00  5/18/2010   503763.113  6784056.517  301.737   0.032   0.028 2
81-K  18:32:30.00  5/18/2010   503763.110  6784056.515  301.739   0.032   0.028 2
82-K  18:33:00.00  5/18/2010   503763.110  6784056.514  301.738   0.032   0.028 2
83-K  18:33:30.00  5/18/2010   503763.106  6784056.513  301.742   0.032   0.028 2
84-K  18:34:00.00  5/18/2010   503763.104  6784056.511  301.742   0.032   0.028 2
85-K  18:34:30.00  5/18/2010   503763.102  6784056.511  301.741   0.032   0.028 2
86-K  18:35:00.00  5/18/2010   503763.099  6784056.508  301.743   0.032   0.028 2
87-K  18:35:30.00  5/18/2010   503763.098  6784056.508  301.747   0.032   0.028 2
88-K  18:36:00.00  5/18/2010   503763.096  6784056.505  301.749   0.032   0.028 2
89-K  18:36:30.00  5/18/2010   503763.094  6784056.502  301.748   0.032   0.028 2
90-K  18:37:00.00  5/18/2010   503763.091  6784056.500  301.751   0.032   0.028 2
91-K  18:37:30.00  5/18/2010   503763.087  6784056.497  301.748   0.032   0.028 2
92-K  18:38:00.00  5/18/2010   503763.084  6784056.496  301.750   0.032   0.028 2
93-K  18:38:30.00  5/18/2010   503763.083  6784056.492  301.751   0.032   0.028 2
94-K  18:39:00.00  5/18/2010   503763.081  6784056.490  301.752   0.032   0.028 2
95-K  18:39:30.00  5/18/2010   503763.076  6784056.490  301.751   0.032   0.028 2
96-K  18:40:00.00  5/18/2010   503763.074  6784056.485  301.750   0.032   0.028 2
97-K  18:40:30.00  5/18/2010   503763.072  6784056.485  301.749   0.032   0.028 2
98-K  18:41:00.00  5/18/2010   503763.068  6784056.482  301.746   0.032   0.028 2
99-K  18:41:30.00  5/18/2010   503763.069  6784056.482  301.752   0.032   0.028 2
100-K 18:42:00.00  5/18/2010   503763.064  6784056.480  301.751   0.032   0.028 2
101-K 18:42:30.00  5/18/2010   503763.063  6784056.481  301.745   0.032   0.028 2
102-K 18:43:00.00  5/18/2010   503763.061  6784056.479  301.746   0.031   0.028 2
103-K 18:43:30.00  5/18/2010   503763.058  6784056.476  301.751   0.031   0.028 2
104-K 18:44:00.00  5/18/2010   503763.053  6784056.478  301.750   0.031   0.028 2
105-K 18:44:30.00  5/18/2010   503763.052  6784056.473  301.748   0.031   0.028 2
106-K 18:45:00.00  5/18/2010   503763.047  6784056.472  301.749   0.031   0.028 2
107-K 18:45:30.00  5/18/2010   503763.046  6784056.470  301.747   0.031   0.028 2
108-K 18:46:00.00  5/18/2010   503763.041  6784056.471  301.746   0.030   0.027 2
109-K 18:46:30.00  5/18/2010   503763.039  6784056.468  301.746   0.030   0.027 2
110-K 18:47:00.00  5/18/2010   503763.039  6784056.463  301.743   0.030   0.027 2
111-K 18:47:30.00  5/18/2010   503763.036  6784056.457  301.747   0.030   0.027 2
112-K 18:48:00.00  5/18/2010   503763.034  6784056.458  301.739   0.030   0.027 2
113-K 18:48:30.00  5/18/2010   503763.031  6784056.454  301.737   0.030   0.027 2
114-K 18:49:00.00  5/18/2010   503763.028  6784056.455  301.737   0.030   0.027 2
115-K 18:49:30.00  5/18/2010   503763.026  6784056.452  301.736   0.029   0.027 2
116-K 18:50:00.00  5/18/2010   503763.021  6784056.452  301.738   0.029   0.027 2
117-K 18:50:30.00  5/18/2010   503763.020  6784056.448  301.739   0.029   0.027 2
118-K 18:51:00.00  5/18/2010   503763.020  6784056.444  301.733   0.029   0.027 2
119-K 18:51:30.00  5/18/2010   503763.016  6784056.443  301.741   0.029   0.027 2
120-K 18:52:00.00  5/18/2010   503763.015  6784056.439  301.737   0.029   0.027 2
121-K 18:52:30.00  5/18/2010   503763.011  6784056.437  301.737   0.029   0.027 2
122-K 18:53:00.00  5/18/2010   503763.010  6784056.432  301.737   0.029   0.027 2
123-K 18:53:30.00  5/18/2010   503763.008  6784056.428  301.736   0.029   0.027 2
124-K 18:54:00.00  5/18/2010   503763.003  6784056.428  301.736   0.029   0.027 2
125-K 18:54:30.00  5/18/2010   503763.001  6784056.427  301.737   0.029   0.027 2
126-K 18:55:00.00  5/18/2010   503762.998  6784056.425  301.739   0.029   0.028 2
127-K 18:55:30.00  5/18/2010   503763.000  6784056.420  301.731   0.029   0.028 2
128-K 18:56:00.00  5/18/2010   503762.996  6784056.417  301.736   0.028   0.026 2
129-K 18:56:30.00  5/18/2010   503762.995  6784056.413  301.737   0.028   0.026 2
130-K 18:57:00.00  5/18/2010   503762.991  6784056.411  301.738   0.027   0.026 2
131-K 18:57:30.00  5/18/2010   503762.989  6784056.406  301.733   0.027   0.026 2
132-K 18:58:00.00  5/18/2010   503762.983  6784056.405  301.739   0.027   0.026 2
133-K 18:58:30.00  5/18/2010   503762.982  6784056.401  301.734   0.027   0.026 2
134-K 18:59:00.00  5/18/2010   503762.982  6784056.400  301.735   0.028   0.026 2
135-K 18:59:30.00  5/18/2010   503762.977  6784056.397  301.732   0.028   0.027 2
136-K 19:00:00.00  5/18/2010   503762.976  6784056.393  301.735   0.028   0.027 2
137-K 19:00:30.00  5/18/2010   503762.974  6784056.392  301.731   0.028   0.027 2
138-K 19:01:00.00  5/18/2010   503762.970  6784056.390  301.730   0.028   0.027 2
139-K 19:01:30.00  5/18/2010   503762.967  6784056.386  301.732   0.028   0.027 2
140-K 19:02:00.00  5/18/2010   503762.964  6784056.383  301.729   0.028   0.027 2
141-K 19:02:30.00  5/18/2010   503762.964  6784056.379  301.729   0.028   0.027 2
142-K 19:03:00.00  5/18/2010   503762.963  6784056.377  301.730   0.027   0.027 2
143-K 19:03:30.00  5/18/2010   503762.959  6784056.372  301.721   0.027   0.028 2
144-K 19:04:00.00  5/18/2010   503762.957  6784056.373  301.723   0.027   0.028 2
145-K 19:04:30.00  5/18/2010   503762.953  6784056.377  301.730   0.027   0.028 2
146-K 19:05:00.00  5/18/2010   503762.950  6784056.372  301.728   0.027   0.028 2
147-K 19:05:30.00  5/18/2010   503762.950  6784056.370  301.724   0.027   0.028 2
148-K 19:06:00.00  5/18/2010   503762.948  6784056.368  301.718   0.027   0.028 2
149-K 19:06:30.00  5/18/2010   503762.946  6784056.366  301.716   0.027   0.028 2
150-K 19:07:00.00  5/18/2010   503762.942  6784056.365  301.726   0.027   0.028 2
151-K 19:07:30.00  5/18/2010   503762.940  6784056.359  301.716   0.027   0.028 2
152-K 19:08:00.00  5/18/2010   503762.937  6784056.358  301.718   0.027   0.028 2
153-K 19:08:30.00  5/18/2010   503762.933  6784056.360  301.725   0.027   0.028 2
154-K 19:09:00.00  5/18/2010   503762.929  6784056.356  301.719   0.026   0.028 2
155-K 19:09:30.00  5/18/2010   503762.925  6784056.355  301.716   0.026   0.028 2
156-K 19:10:00.00  5/18/2010   503762.924  6784056.353  301.719   0.026   0.028 2
157-K 19:10:30.00  5/18/2010   503762.921  6784056.351  301.715   0.026   0.028 2
158-K 19:11:00.00  5/18/2010   503762.916  6784056.352  301.722   0.026   0.028 2
159-K 19:11:30.00  5/18/2010   503762.915  6784056.348  301.716   0.026   0.028 2
160-K 19:12:00.00  5/18/2010   503762.910  6784056.343  301.714   0.026   0.028 2
161-K 19:12:30.00  5/18/2010   503762.908  6784056.343  301.717   0.026   0.028 2
162-K 19:13:00.00  5/18/2010   503762.905  6784056.341  301.717   0.026   0.028 2
163-K 19:13:30.00  5/18/2010   503762.901  6784056.338  301.711   0.026   0.028 2
164-K 19:14:00.00  5/18/2010   503762.899  6784056.339  301.715   0.026   0.029 2
165-K 19:14:30.00  5/18/2010   503762.896  6784056.343  301.714   0.026   0.029 2
166-K 19:15:00.00  5/18/2010   503762.895  6784056.336  301.711   0.026   0.029 2
167-K 19:15:30.00  5/18/2010   503762.888  6784056.337  301.718   0.026   0.029 2
168-K 19:16:00.00  5/18/2010   503762.887  6784056.332  301.711   0.026   0.029 2
169-K 19:16:30.00  5/18/2010   503762.887  6784056.331  301.712   0.026   0.029 2
170-K 19:17:00.00  5/18/2010   503762.881  6784056.329  301.710   0.026   0.029 2
171-K 19:17:30.00  5/18/2010   503762.883  6784056.321  301.702   0.025   0.029 2
172-K 19:18:00.00  5/18/2010   503762.879  6784056.322  301.708   0.025   0.029 2
173-K 19:18:30.00  5/18/2010   503762.875  6784056.325  301.711   0.025   0.029 2
174-K 19:19:00.00  5/18/2010   503762.873  6784056.320  301.705   0.026   0.030 3
175-K 19:19:30.00  5/18/2010   503762.868  6784056.318  301.701   0.025   0.028 2
176-K 19:20:00.00  5/18/2010   503762.867  6784056.315  301.700   0.025   0.028 2
177-K 19:20:30.00  5/18/2010   503762.863  6784056.312  301.704   0.025   0.028 2
178-K 19:21:00.00  5/18/2010   503762.861  6784056.310  301.703   0.025   0.028 2
179-K 19:21:30.00  5/18/2010   503762.858  6784056.309  301.698   0.025   0.028 2
180-K 19:22:00.00  5/18/2010   503762.854  6784056.308  301.700   0.024   0.028 2
181-K 19:22:30.00  5/18/2010   503762.850  6784056.307  301.697   0.024   0.029 2
182-K 19:23:00.00  5/18/2010   503762.848  6784056.303  301.692   0.024   0.029 2
183-K 19:23:30.00  5/18/2010   503762.842  6784056.304  301.690   0.024   0.029 2
184-K 19:24:00.00  5/18/2010   503762.838  6784056.303  301.702   0.024   0.029 2
185-K 19:24:30.00  5/18/2010   503762.836  6784056.305  301.704   0.024   0.029 2
186-K 19:25:00.00  5/18/2010   503762.833  6784056.301  301.704   0.024   0.029 2
187-K 19:25:30.00  5/18/2010   503762.831  6784056.301  301.702   0.024   0.029 2
188-K 19:26:00.00  5/18/2010   503762.826  6784056.299  301.708   0.024   0.029 2
189-K 19:26:30.00  5/18/2010   503762.828  6784056.294  301.699   0.024   0.029 2
190-K 19:27:00.00  5/18/2010   503762.823  6784056.291  301.703   0.024   0.029 2
191-K 19:27:30.00  5/18/2010   503762.820  6784056.290  301.701   0.024   0.029 2
192-K 19:28:00.00  5/18/2010   503762.817  6784056.291  301.709   0.024   0.029 2
193-K 19:28:30.00  5/18/2010   503762.816  6784056.287  301.708   0.024   0.029 2
194-K 19:29:00.00  5/18/2010   503762.814  6784056.282  301.702   0.023   0.029 2
195-K 19:29:30.00  5/18/2010   503762.810  6784056.278  301.701   0.023   0.029 2
196-K 19:30:00.00  5/18/2010   503762.809  6784056.276  301.697   0.023   0.029 2
197-K 19:30:30.00  5/18/2010   503762.806  6784056.274  301.699   0.023   0.029 2
198-K 19:31:00.00  5/18/2010   503762.804  6784056.270  301.694   0.023   0.029 2
199-K 19:31:30.00  5/18/2010   503762.803  6784056.264  301.690   0.023   0.029 2
200-K 19:32:00.00  5/18/2010   503762.800  6784056.263  301.692   0.023   0.029 2
201-K 19:32:30.00  5/18/2010   503762.795  6784056.263  301.696   0.023   0.029 2
202-K 19:33:00.00  5/18/2010   503762.792  6784056.258  301.695   0.023   0.029 2
203-K 19:33:30.00  5/18/2010   503762.791  6784056.256  301.685   0.023   0.029 2
204-K 19:34:00.00  5/18/2010   503762.787  6784056.256  301.693   0.023   0.029 2
205-K 19:34:30.00  5/18/2010   503762.785  6784056.251  301.692   0.023   0.029 2
206-K 19:35:00.00  5/18/2010   503762.784  6784056.248  301.693   0.023   0.029 2
207-K 19:35:30.00  5/18/2010   503762.781  6784056.248  301.697   0.023   0.029 2
208-K 19:36:00.00  5/18/2010   503762.774  6784056.247  301.699   0.023   0.030 2
209-K 19:36:30.00  5/18/2010   503762.773  6784056.245  301.700   0.023   0.030 2
210-K 19:37:00.00  5/18/2010   503762.769  6784056.247  301.705   0.023   0.030 2
211-K 19:37:30.00  5/18/2010   503762.765  6784056.241  301.696   0.023   0.030 2
212-K 19:38:00.00  5/18/2010   503762.764  6784056.241  301.700   0.023   0.030 2
213-K 19:38:30.00  5/18/2010   503762.761  6784056.239  301.697   0.023   0.030 2
214-K 19:39:00.00  5/18/2010   503762.758  6784056.238  301.701   0.023   0.031 2
215-K 19:39:30.00  5/18/2010   503762.755  6784056.236  301.697   0.023   0.031 2
216-K 19:40:00.00  5/18/2010   503762.758  6784056.233  301.693   0.023   0.032 2
217-K 19:40:30.00  5/18/2010   503762.755  6784056.232  301.694   0.024   0.034 2
218-K 19:41:00.00  5/18/2010   503762.751  6784056.235  301.689   0.025   0.037 2
219-K 19:41:30.00  5/18/2010   503762.751  6784056.221  301.688   0.026   0.044 2
220-K 19:42:00.00  5/18/2010   503762.747  6784056.221  301.693   0.026   0.044 2
221-K 19:42:30.00  5/18/2010   503762.746  6784056.217  301.687   0.026   0.044 2
222-K 19:43:00.00  5/18/2010   503762.744  6784056.213  301.687   0.026   0.044 2
223-K 19:43:30.00  5/18/2010   503762.739  6784056.215  301.692   0.026   0.044 2
224-K 19:44:00.00  5/18/2010   503762.735  6784056.214  301.692   0.025   0.044 2
225-K 19:44:30.00  5/18/2010   503762.734  6784056.206  301.682   0.025   0.045 2
226-K 19:45:00.00  5/18/2010   503762.731  6784056.206  301.684   0.025   0.045 2
227-K 19:45:30.00  5/18/2010   503762.726  6784056.199  301.678   0.025   0.045 2
228-K 19:46:00.00  5/18/2010   503762.724  6784056.200  301.680   0.025   0.045 2
229-K 19:46:30.00  5/18/2010   503762.721  6784056.199  301.674   0.025   0.045 2
230-K 19:47:00.00  5/18/2010   503762.719  6784056.196  301.678   0.025   0.045 2
231-K 19:47:30.00  5/18/2010   503762.715  6784056.196  301.680   0.025   0.045 2
232-K 19:48:00.00  5/18/2010   503762.709  6784056.193  301.680   0.025   0.045 2
233-K 19:48:30.00  5/18/2010   503762.708  6784056.190  301.676   0.025   0.046 2
234-K 19:49:00.00  5/18/2010   503762.707  6784056.186  301.686   0.025   0.046 2
235-K 19:49:30.00  5/18/2010   503762.704  6784056.187  301.686   0.025   0.046 2
236-K 19:50:00.00  5/18/2010   503762.698  6784056.189  301.688   0.025   0.046 2
237-K 19:50:30.00  5/18/2010   503762.696  6784056.185  301.689   0.025   0.046 2
238-K 19:51:00.00  5/18/2010   503762.692  6784056.183  301.694   0.025   0.046 2
239-K 19:51:30.00  5/18/2010   503762.690  6784056.178  301.688   0.025   0.046 2
240-K 19:52:00.00  5/18/2010   503762.686  6784056.175  301.684   0.025   0.046 2
241-K 19:52:30.00  5/18/2010   503762.684  6784056.170  301.688   0.025   0.046 2
242-K 19:53:00.00  5/18/2010   503762.683  6784056.167  301.685   0.025   0.046 2
243-K 19:53:30.00  5/18/2010   503762.677  6784056.167  301.694   0.025   0.046 2
244-K 19:54:00.00  5/18/2010   503762.677  6784056.164  301.687   0.025   0.047 2
245-K 19:54:30.00  5/18/2010   503762.674  6784056.160  301.686   0.025   0.047 2
246-K 19:55:00.00  5/18/2010   503762.672  6784056.157  301.690   0.025   0.047 2
247-K 19:55:30.00  5/18/2010   503762.669  6784056.156  301.691   0.025   0.047 2
248-K 19:56:00.00  5/18/2010   503762.666  6784056.155  301.690   0.025   0.047 2
249-K 19:56:30.00  5/18/2010   503762.661  6784056.150  301.689   0.025   0.047 2
250-K 19:57:00.00  5/18/2010   503762.660  6784056.147  301.686   0.025   0.047 2
251-K 19:57:30.00  5/18/2010   503762.655  6784056.145  301.685   0.025   0.047 2
252-K 19:58:00.00  5/18/2010   503762.651  6784056.142  301.682   0.024   0.047 2
253-K 19:58:30.00  5/18/2010   503762.648  6784056.140  301.690   0.024   0.047 2
254-K 19:59:00.00  5/18/2010   503762.646  6784056.135  301.684   0.024   0.047 2
255-K 19:59:30.00  5/18/2010   503762.646  6784056.134  301.679   0.024   0.047 2
256-K 20:00:00.00  5/18/2010   503762.642  6784056.134  301.695   0.024   0.047 2
257-K 20:00:30.00  5/18/2010   503762.638  6784056.135  301.688   0.024   0.047 2
258-K 20:01:00.00  5/18/2010   503762.637  6784056.131  301.690   0.024   0.047 2
259-K 20:01:30.00  5/18/2010   503762.633  6784056.133  301.700   0.024   0.047 2
260-K 20:02:00.00  5/18/2010   503762.631  6784056.127  301.696   0.024   0.048 2
261-K 20:02:30.00  5/18/2010   503762.629  6784056.123  301.694   0.024   0.048 2
262-K 20:03:00.00  5/18/2010   503762.627  6784056.119  301.685   0.024   0.048 2
263-K 20:03:30.00  5/18/2010   503762.622  6784056.125  301.697   0.024   0.048 2
264-K 20:04:00.00  5/18/2010   503762.620  6784056.124  301.702   0.025   0.049 2
265-K 20:04:30.00  5/18/2010   503762.621  6784056.116  301.712   0.025   0.051 2
266-K 20:05:00.00  5/18/2010   503762.619  6784056.110  301.699   0.025   0.051 2
267-K 20:05:30.00  5/18/2010   503762.616  6784056.113  301.702   0.025   0.051 2
268-K 20:06:00.00  5/18/2010   503762.613  6784056.106  301.701   0.025   0.051 2
269-K 20:06:30.00  5/18/2010   503762.609  6784056.108  301.709   0.025   0.051 2
270-K 20:07:00.00  5/18/2010   503762.609  6784056.101  301.702   0.025   0.051 2
271-K 20:07:30.00  5/18/2010   503762.606  6784056.098  301.712   0.025   0.051 2
272-K 20:08:00.00  5/18/2010   503762.600  6784056.095  301.704   0.025   0.051 2
273-K 20:08:30.00  5/18/2010   503762.598  6784056.093  301.708   0.025   0.051 2
274-K 20:09:00.00  5/18/2010   503762.594  6784056.092  301.711   0.025   0.051 2
275-K 20:09:30.00  5/18/2010   503762.592  6784056.091  301.711   0.025   0.051 2
276-K 20:10:00.00  5/18/2010   503762.588  6784056.089  301.716   0.025   0.051 2
277-K 20:10:30.00  5/18/2010   503762.587  6784056.084  301.720   0.025   0.051 2
278-K 20:11:00.00  5/18/2010   503762.585  6784056.083  301.712   0.025   0.050 2
279-K 20:11:30.00  5/18/2010   503762.581  6784056.077  301.707   0.025   0.050 2
280-K 20:12:00.00  5/18/2010   503762.578  6784056.072  301.702   0.025   0.050 2
281-K 20:12:30.00  5/18/2010   503762.573  6784056.071  301.702   0.025   0.050 2
282-K 20:13:00.00  5/18/2010   503762.572  6784056.071  301.705   0.025   0.050 2
283-K 20:13:30.00  5/18/2010   503762.568  6784056.071  301.703   0.025   0.050 2
284-K 20:14:00.00  5/18/2010   503762.565  6784056.070  301.713   0.025   0.050 2
285-K 20:14:30.00  5/18/2010   503762.562  6784056.064  301.703   0.024   0.044 2
286-K 20:15:00.00  5/18/2010   503762.557  6784056.063  301.697   0.023   0.040 2
287-K 20:15:30.00  5/18/2010   503762.554  6784056.060  301.701   0.023   0.039 2
288-K 20:16:00.00  5/18/2010   503762.550  6784056.058  301.693   0.023   0.039 2
289-K 20:16:30.00  5/18/2010   503762.549  6784056.056  301.694   0.023   0.038 2
290-K 20:17:00.00  5/18/2010   503762.546  6784056.051  301.694   0.023   0.038 2
291-K 20:17:30.00  5/18/2010   503762.544  6784056.051  301.694   0.023   0.038 2
292-K 20:18:00.00  5/18/2010   503762.542  6784056.053  301.702   0.023   0.038 2
293-K 20:18:30.00  5/18/2010   503762.540  6784056.050  301.708   0.023   0.038 2
294-K 20:19:00.00  5/18/2010   503762.537  6784056.044  301.696   0.023   0.038 2
295-K 20:19:30.00  5/18/2010   503762.533  6784056.041  301.694   0.023   0.038 2
296-K 20:20:00.00  5/18/2010   503762.530  6784056.041  301.699   0.023   0.038 2
297-K 20:20:30.00  5/18/2010   503762.528  6784056.040  301.703   0.023   0.038 2
298-K 20:21:00.00  5/18/2010   503762.527  6784056.038  301.702   0.023   0.038 2
299-K 20:21:30.00  5/18/2010   503762.524  6784056.035  301.693   0.023   0.038 2
300-K 20:22:00.00  5/18/2010   503762.524  6784056.038  301.709   0.023   0.038 2
301-K 20:22:30.00  5/18/2010   503762.520  6784056.033  301.707   0.023   0.038 2
302-K 20:23:00.00  5/18/2010   503762.521  6784056.032  301.709   0.023   0.038 2
303-K 20:23:30.00  5/18/2010   503762.519  6784056.028  301.708   0.023   0.038 2
304-K 20:24:00.00  5/18/2010   503762.516  6784056.028  301.714   0.023   0.038 2
305-K 20:24:30.00  5/18/2010   503762.514  6784056.024  301.712   0.023   0.038 2
306-K 20:25:00.00  5/18/2010   503762.508  6784056.017  301.694   0.023   0.038 2
307-K 20:25:30.00  5/18/2010   503762.506  6784056.016  301.696   0.024   0.037 2
308-K 20:26:00.00  5/18/2010   503762.504  6784056.014  301.700   0.024   0.037 2
309-K 20:26:30.00  5/18/2010   503762.502  6784056.014  301.706   0.024   0.037 2
310-K 20:27:00.00  5/18/2010   503762.500  6784056.017  301.708   0.024   0.037 2
311-K 20:27:30.00  5/18/2010   503762.497  6784056.015  301.708   0.024   0.037 2
312-K 20:28:00.00  5/18/2010   503762.492  6784056.010  301.703   0.024   0.037 2
313-K 20:28:30.00  5/18/2010   503762.489  6784056.007  301.702   0.024   0.037 2
314-K 20:29:00.00  5/18/2010   503762.487  6784056.006  301.705   0.024   0.037 2
315-K 20:29:30.00  5/18/2010   503762.486  6784056.003  301.710   0.024   0.037 2
316-K 20:30:00.00  5/18/2010   503762.482  6784056.000  301.708   0.024   0.037 2
317-K 20:30:30.00  5/18/2010   503762.481  6784055.995  301.708   0.024   0.037 2
318-K 20:31:00.00  5/18/2010   503762.480  6784055.998  301.722   0.024   0.037 2
319-K 20:31:30.00  5/18/2010   503762.476  6784055.990  301.711   0.024   0.037 2
320-K 20:32:00.00  5/18/2010   503762.475  6784055.987  301.709   0.024   0.037 2
321-K 20:32:30.00  5/18/2010   503762.473  6784055.986  301.719   0.024   0.037 2
322-K 20:33:00.00  5/18/2010   503762.469  6784055.986  301.718   0.024   0.037 2
323-K 20:33:30.00  5/18/2010   503762.467  6784055.983  301.720   0.024   0.037 2
324-K 20:34:00.00  5/18/2010   503762.466  6784055.980  301.712   0.024   0.037 2
325-K 20:34:30.00  5/18/2010   503762.461  6784055.972  301.710   0.024   0.037 2
326-K 20:35:00.00  5/18/2010   503762.458  6784055.960  301.688   0.024   0.037 2
