
Project:     S1R2 a-d
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 18:28:46

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
153-K 18:52:00.00  5/18/2010   504669.804  6785022.432  339.473   0.029   0.028 2
154-K 18:52:30.00  5/18/2010   504669.802  6785022.425  339.473   0.029   0.028 2
155-K 18:53:00.00  5/18/2010   504669.800  6785022.423  339.471   0.029   0.028 2
156-K 18:53:30.00  5/18/2010   504669.797  6785022.419  339.470   0.029   0.028 2
157-K 18:54:00.00  5/18/2010   504669.793  6785022.417  339.474   0.029   0.028 2
158-K 18:54:30.00  5/18/2010   504669.792  6785022.414  339.470   0.029   0.028 2
159-K 18:55:00.00  5/18/2010   504669.790  6785022.411  339.468   0.029   0.028 2
160-K 18:55:30.00  5/18/2010   504669.792  6785022.405  339.467   0.029   0.028 2
161-K 18:56:00.00  5/18/2010   504669.789  6785022.405  339.467   0.028   0.026 2
162-K 18:56:30.00  5/18/2010   504669.786  6785022.400  339.469   0.028   0.026 2
163-K 18:57:00.00  5/18/2010   504669.786  6785022.396  339.461   0.028   0.026 2
164-K 18:57:30.00  5/18/2010   504669.783  6785022.395  339.464   0.028   0.026 2
165-K 18:58:00.00  5/18/2010   504669.778  6785022.393  339.467   0.027   0.026 2
166-K 18:58:30.00  5/18/2010   504669.777  6785022.387  339.464   0.028   0.026 2
167-K 18:59:00.00  5/18/2010   504669.774  6785022.385  339.465   0.028   0.027 2
168-K 18:59:30.00  5/18/2010   504669.769  6785022.384  339.465   0.028   0.027 2
169-K 19:00:00.00  5/18/2010   504669.770  6785022.379  339.465   0.028   0.027 2
170-K 19:00:30.00  5/18/2010   504669.766  6785022.376  339.465   0.028   0.028 2
171-K 19:01:00.00  5/18/2010   504669.763  6785022.376  339.464   0.028   0.028 2
172-K 19:01:30.00  5/18/2010   504669.763  6785022.372  339.464   0.028   0.028 2
173-K 19:02:00.00  5/18/2010   504669.758  6785022.371  339.464   0.028   0.028 2
174-K 19:02:30.00  5/18/2010   504669.758  6785022.367  339.464   0.028   0.028 2
175-K 19:03:00.00  5/18/2010   504669.755  6785022.364  339.463   0.028   0.028 2
176-K 19:03:30.00  5/18/2010   504669.754  6785022.359  339.462   0.027   0.028 2
177-K 19:04:00.00  5/18/2010   504669.751  6785022.356  339.456   0.027   0.028 2
178-K 19:04:30.00  5/18/2010   504669.747  6785022.361  339.461   0.027   0.028 2
179-K 19:05:00.00  5/18/2010   504669.745  6785022.358  339.462   0.027   0.028 2
180-K 19:05:30.00  5/18/2010   504669.744  6785022.358  339.463   0.027   0.028 2
181-K 19:06:00.00  5/18/2010   504669.743  6785022.354  339.455   0.027   0.028 2
182-K 19:06:30.00  5/18/2010   504669.743  6785022.349  339.455   0.027   0.028 2
183-K 19:07:00.00  5/18/2010   504669.739  6785022.348  339.461   0.027   0.028 2
184-K 19:07:30.00  5/18/2010   504669.735  6785022.342  339.461   0.027   0.028 2
185-K 19:08:00.00  5/18/2010   504669.733  6785022.341  339.460   0.027   0.028 2
186-K 19:08:30.00  5/18/2010   504669.727  6785022.340  339.468   0.027   0.028 2
187-K 19:09:00.00  5/18/2010   504669.727  6785022.337  339.461   0.026   0.028 2
188-K 19:09:30.00  5/18/2010   504669.724  6785022.335  339.456   0.026   0.028 2
189-K 19:10:00.00  5/18/2010   504669.722  6785022.333  339.461   0.026   0.028 2
190-K 19:10:30.00  5/18/2010   504669.720  6785022.331  339.456   0.026   0.028 2
191-K 19:11:00.00  5/18/2010   504669.714  6785022.332  339.462   0.026   0.028 2
192-K 19:11:30.00  5/18/2010   504669.712  6785022.328  339.461   0.026   0.028 2
193-K 19:12:00.00  5/18/2010   504669.707  6785022.325  339.461   0.026   0.028 2
194-K 19:12:30.00  5/18/2010   504669.703  6785022.324  339.465   0.026   0.028 2
195-K 19:13:00.00  5/18/2010   504669.701  6785022.321  339.462   0.026   0.028 2
196-K 19:13:30.00  5/18/2010   504669.696  6785022.320  339.462   0.026   0.028 2
197-K 19:14:00.00  5/18/2010   504669.698  6785022.316  339.462   0.026   0.029 2
198-K 19:14:30.00  5/18/2010   504669.696  6785022.316  339.460   0.026   0.029 2
199-K 19:15:00.00  5/18/2010   504669.692  6785022.317  339.464   0.026   0.029 2
