
Project:     S1R3 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/20/2010 at 11:47:37

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base 3, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
148-K 18:51:30.00  5/18/2010   507487.254  6786622.279  422.683   0.030   0.028 2
149-K 18:52:00.00  5/18/2010   507487.254  6786622.278  422.685   0.030   0.028 2
150-K 18:52:30.00  5/18/2010   507487.254  6786622.276  422.688   0.030   0.028 2
151-K 18:53:00.00  5/18/2010   507487.254  6786622.275  422.688   0.029   0.028 2
152-K 18:53:30.00  5/18/2010   507487.253  6786622.269  422.686   0.029   0.028 2
153-K 18:54:00.00  5/18/2010   507487.249  6786622.269  422.685   0.029   0.028 2
154-K 18:54:30.00  5/18/2010   507487.249  6786622.270  422.683   0.029   0.028 2
155-K 18:55:00.00  5/18/2010   507487.250  6786622.268  422.683   0.029   0.028 2
156-K 18:55:30.00  5/18/2010   507487.250  6786622.266  422.678   0.029   0.028 2
157-K 18:56:00.00  5/18/2010   507487.249  6786622.268  422.683   0.028   0.026 2
158-K 18:56:30.00  5/18/2010   507487.247  6786622.264  422.685   0.028   0.026 2
159-K 18:57:00.00  5/18/2010   507487.243  6786622.264  422.684   0.028   0.026 2
160-K 18:57:30.00  5/18/2010   507487.243  6786622.264  422.684   0.028   0.026 2
161-K 18:58:00.00  5/18/2010   507487.239  6786622.261  422.688   0.028   0.026 2
162-K 18:58:30.00  5/18/2010   507487.240  6786622.258  422.687   0.028   0.027 2
163-K 18:59:00.00  5/18/2010   507487.238  6786622.258  422.692   0.028   0.027 2
164-K 18:59:30.00  5/18/2010   507487.238  6786622.255  422.689   0.028   0.028 2
165-K 19:00:00.00  5/18/2010   507487.237  6786622.254  422.693   0.028   0.028 2
166-K 19:00:30.00  5/18/2010   507487.235  6786622.253  422.691   0.028   0.028 2
167-K 19:01:00.00  5/18/2010   507487.232  6786622.251  422.691   0.028   0.028 2
168-K 19:01:30.00  5/18/2010   507487.233  6786622.248  422.696   0.028   0.028 2
169-K 19:02:00.00  5/18/2010   507487.232  6786622.247  422.692   0.028   0.028 2
170-K 19:02:30.00  5/18/2010   507487.232  6786622.243  422.691   0.028   0.028 2
171-K 19:03:00.00  5/18/2010   507487.231  6786622.241  422.694   0.028   0.028 2
172-K 19:03:30.00  5/18/2010   507487.230  6786622.239  422.693   0.028   0.028 2
173-K 19:04:00.00  5/18/2010   507487.228  6786622.241  422.690   0.028   0.028 2
174-K 19:04:30.00  5/18/2010   507487.223  6786622.246  422.700   0.028   0.028 2
175-K 19:05:00.00  5/18/2010   507487.222  6786622.242  422.701   0.028   0.028 2
176-K 19:05:30.00  5/18/2010   507487.226  6786622.239  422.698   0.028   0.028 2
177-K 19:06:00.00  5/18/2010   507487.222  6786622.240  422.695   0.027   0.028 2
178-K 19:06:30.00  5/18/2010   507487.223  6786622.237  422.690   0.027   0.028 2
179-K 19:07:00.00  5/18/2010   507487.219  6786622.237  422.699   0.027   0.028 2
180-K 19:07:30.00  5/18/2010   507487.216  6786622.233  422.699   0.027   0.028 2
181-K 19:08:00.00  5/18/2010   507487.217  6786622.230  422.699   0.028   0.029 2
182-K 19:08:30.00  5/18/2010   507487.212  6786622.236  422.698   0.027   0.029 2
183-K 19:09:00.00  5/18/2010   507487.210  6786622.232  422.698   0.027   0.029 2
184-K 19:09:30.00  5/18/2010   507487.207  6786622.231  422.697   0.027   0.029 2
185-K 19:10:00.00  5/18/2010   507487.208  6786622.234  422.698   0.027   0.029 2
186-K 19:10:30.00  5/18/2010   507487.209  6786622.232  422.694   0.027   0.029 2
187-K 19:11:00.00  5/18/2010   507487.205  6786622.234  422.702   0.027   0.029 2
188-K 19:11:30.00  5/18/2010   507487.205  6786622.230  422.699   0.027   0.029 2
189-K 19:12:00.00  5/18/2010   507487.202  6786622.228  422.699   0.027   0.029 2
190-K 19:12:30.00  5/18/2010   507487.200  6786622.227  422.703   0.027   0.029 2
191-K 19:13:00.00  5/18/2010   507487.199  6786622.225  422.703   0.027   0.029 2
192-K 19:13:30.00  5/18/2010   507487.199  6786622.226  422.697   0.027   0.029 2
193-K 19:14:00.00  5/18/2010   507487.197  6786622.222  422.701   0.026   0.029 2
194-K 19:14:30.00  5/18/2010   507487.196  6786622.227  422.699   0.026   0.029 2
195-K 19:15:00.00  5/18/2010   507487.196  6786622.226  422.703   0.026   0.029 2
196-K 19:15:30.00  5/18/2010   507487.194  6786622.223  422.702   0.026   0.029 2
197-K 19:16:00.00  5/18/2010   507487.194  6786622.221  422.700   0.026   0.029 2
198-K 19:16:30.00  5/18/2010   507487.194  6786622.220  422.700   0.026   0.029 2
199-K 19:17:00.00  5/18/2010   507487.195  6786622.221  422.696   0.026   0.029 2
200-K 19:17:30.00  5/18/2010   507487.195  6786622.215  422.693   0.026   0.029 2
201-K 19:18:00.00  5/18/2010   507487.193  6786622.218  422.701   0.026   0.029 2
202-K 19:18:30.00  5/18/2010   507487.191  6786622.215  422.695   0.026   0.030 2
203-K 19:19:00.00  5/18/2010   507487.189  6786622.216  422.690   0.026   0.030 3
204-K 19:19:30.00  5/18/2010   507487.186  6786622.217  422.692   0.025   0.029 2
205-K 19:20:00.00  5/18/2010   507487.185  6786622.215  422.689   0.025   0.029 2
206-K 19:20:30.00  5/18/2010   507487.184  6786622.214  422.685   0.025   0.029 2
207-K 19:21:00.00  5/18/2010   507487.185  6786622.214  422.686   0.025   0.029 2
208-K 19:21:30.00  5/18/2010   507487.182  6786622.212  422.685   0.025   0.029 2
209-K 19:22:00.00  5/18/2010   507487.181  6786622.209  422.683   0.025   0.029 2
210-K 19:22:30.00  5/18/2010   507487.179  6786622.212  422.682   0.025   0.029 2
211-K 19:23:00.00  5/18/2010   507487.176  6786622.213  422.684   0.025   0.029 2
212-K 19:23:30.00  5/18/2010   507487.176  6786622.213  422.679   0.025   0.029 2
213-K 19:24:00.00  5/18/2010   507487.172  6786622.212  422.686   0.025   0.029 2
214-K 19:24:30.00  5/18/2010   507487.173  6786622.215  422.686   0.025   0.029 2
215-K 19:25:00.00  5/18/2010   507487.170  6786622.211  422.692   0.024   0.029 2
216-K 19:25:30.00  5/18/2010   507487.169  6786622.212  422.688   0.024   0.029 2
217-K 19:26:00.00  5/18/2010   507487.168  6786622.213  422.692   0.024   0.029 2
218-K 19:26:30.00  5/18/2010   507487.170  6786622.210  422.690   0.024   0.029 2
219-K 19:27:00.00  5/18/2010   507487.168  6786622.208  422.694   0.024   0.029 2
220-K 19:27:30.00  5/18/2010   507487.165  6786622.209  422.698   0.024   0.029 2
221-K 19:28:00.00  5/18/2010   507487.167  6786622.209  422.693   0.024   0.029 2
222-K 19:28:30.00  5/18/2010   507487.167  6786622.208  422.698   0.024   0.029 2
223-K 19:29:00.00  5/18/2010   507487.165  6786622.203  422.693   0.024   0.029 2
224-K 19:29:30.00  5/18/2010   507487.161  6786622.203  422.696   0.024   0.029 2
225-K 19:30:00.00  5/18/2010   507487.162  6786622.199  422.692   0.024   0.029 2
226-K 19:30:30.00  5/18/2010   507487.163  6786622.195  422.687   0.024   0.030 2
227-K 19:31:00.00  5/18/2010   507487.164  6786622.195  422.685   0.024   0.030 2
228-K 19:31:30.00  5/18/2010   507487.162  6786622.192  422.683   0.024   0.030 2
229-K 19:32:00.00  5/18/2010   507487.161  6786622.192  422.684   0.024   0.030 2
230-K 19:32:30.00  5/18/2010   507487.159  6786622.194  422.680   0.024   0.030 2
231-K 19:33:00.00  5/18/2010   507487.158  6786622.191  422.680   0.024   0.030 2
232-K 19:33:30.00  5/18/2010   507487.159  6786622.189  422.671   0.023   0.030 2
233-K 19:34:00.00  5/18/2010   507487.156  6786622.192  422.678   0.023   0.030 2
234-K 19:34:30.00  5/18/2010   507487.157  6786622.190  422.674   0.023   0.030 2
235-K 19:35:00.00  5/18/2010   507487.156  6786622.189  422.677   0.023   0.030 2
236-K 19:35:30.00  5/18/2010   507487.156  6786622.189  422.680   0.023   0.030 2
237-K 19:36:00.00  5/18/2010   507487.152  6786622.189  422.678   0.023   0.030 2
238-K 19:36:30.00  5/18/2010   507487.152  6786622.189  422.680   0.023   0.030 2
239-K 19:37:00.00  5/18/2010   507487.151  6786622.193  422.683   0.023   0.031 2
240-K 19:37:30.00  5/18/2010   507487.148  6786622.189  422.674   0.023   0.031 2
241-K 19:38:00.00  5/18/2010   507487.148  6786622.189  422.680   0.023   0.031 2
242-K 19:38:30.00  5/18/2010   507487.146  6786622.189  422.676   0.023   0.031 2
243-K 19:39:00.00  5/18/2010   507487.146  6786622.189  422.675   0.023   0.032 2
244-K 19:39:30.00  5/18/2010   507487.144  6786622.186  422.677   0.024   0.033 2
245-K 19:40:00.00  5/18/2010   507487.149  6786622.185  422.669   0.024   0.034 2
246-K 19:40:30.00  5/18/2010   507487.145  6786622.185  422.679   0.024   0.035 2
247-K 19:41:00.00  5/18/2010   507487.143  6786622.184  422.677   0.025   0.038 2
248-K 19:41:30.00  5/18/2010   507487.144  6786622.179  422.669   0.026   0.045 2
249-K 19:42:00.00  5/18/2010   507487.142  6786622.181  422.677   0.026   0.045 2
250-K 19:42:30.00  5/18/2010   507487.143  6786622.177  422.666   0.026   0.046 2
251-K 19:43:00.00  5/18/2010   507487.142  6786622.178  422.671   0.026   0.046 2
252-K 19:43:30.00  5/18/2010   507487.139  6786622.179  422.678   0.027   0.047 2
253-K 19:44:00.00  5/18/2010   507487.136  6786622.177  422.675   0.027   0.050 2
254-K 19:44:30.00  5/18/2010   507487.135  6786622.177  422.673   0.026   0.050 2
255-K 19:45:00.00  5/18/2010   507487.135  6786622.176  422.666   0.026   0.050 2
256-K 19:45:30.00  5/18/2010   507487.135  6786622.170  422.660   0.026   0.050 2
257-K 19:46:00.00  5/18/2010   507487.133  6786622.174  422.665   0.026   0.050 2
258-K 19:46:30.00  5/18/2010   507487.131  6786622.174  422.658   0.026   0.050 2
259-K 19:47:00.00  5/18/2010   507487.131  6786622.171  422.663   0.026   0.050 2
260-K 19:47:30.00  5/18/2010   507487.127  6786622.170  422.656   0.026   0.050 2
261-K 19:48:00.00  5/18/2010   507487.127  6786622.169  422.661   0.026   0.051 2
262-K 19:48:30.00  5/18/2010   507487.126  6786622.169  422.666   0.026   0.051 2
263-K 19:49:00.00  5/18/2010   507487.126  6786622.166  422.661   0.026   0.051 2
264-K 19:49:30.00  5/18/2010   507487.125  6786622.167  422.667   0.026   0.051 2
265-K 19:50:00.00  5/18/2010   507487.122  6786622.167  422.662   0.026   0.051 2
266-K 19:50:30.00  5/18/2010   507487.122  6786622.167  422.663   0.026   0.051 2
267-K 19:51:00.00  5/18/2010   507487.118  6786622.168  422.672   0.026   0.051 2
268-K 19:51:30.00  5/18/2010   507487.118  6786622.164  422.670   0.026   0.051 2
269-K 19:52:00.00  5/18/2010   507487.120  6786622.163  422.657   0.026   0.051 2
270-K 19:52:30.00  5/18/2010   507487.119  6786622.164  422.661   0.026   0.052 2
271-K 19:53:00.00  5/18/2010   507487.117  6786622.164  422.670   0.026   0.052 2
272-K 19:53:30.00  5/18/2010   507487.115  6786622.163  422.668   0.026   0.052 2
273-K 19:54:00.00  5/18/2010   507487.114  6786622.164  422.669   0.026   0.052 2
274-K 19:54:30.00  5/18/2010   507487.114  6786622.159  422.659   0.025   0.052 2
275-K 19:55:00.00  5/18/2010   507487.113  6786622.159  422.661   0.025   0.052 2
276-K 19:55:30.00  5/18/2010   507487.112  6786622.160  422.666   0.025   0.052 2
277-K 19:56:00.00  5/18/2010   507487.111  6786622.154  422.660   0.025   0.052 2
278-K 19:56:30.00  5/18/2010   507487.110  6786622.154  422.658   0.025   0.052 2
279-K 19:57:00.00  5/18/2010   507487.108  6786622.160  422.664   0.025   0.052 2
280-K 19:57:30.00  5/18/2010   507487.108  6786622.153  422.662   0.025   0.052 2
281-K 19:58:00.00  5/18/2010   507487.106  6786622.153  422.658   0.025   0.052 2
282-K 19:58:30.00  5/18/2010   507487.104  6786622.151  422.666   0.025   0.052 2
283-K 19:59:00.00  5/18/2010   507487.103  6786622.147  422.661   0.025   0.052 2
284-K 19:59:30.00  5/18/2010   507487.104  6786622.146  422.655   0.025   0.052 2
285-K 20:00:00.00  5/18/2010   507487.102  6786622.149  422.672   0.025   0.052 2
286-K 20:00:30.00  5/18/2010   507487.101  6786622.146  422.664   0.025   0.052 2
287-K 20:01:00.00  5/18/2010   507487.102  6786622.148  422.669   0.025   0.052 2
288-K 20:01:30.00  5/18/2010   507487.099  6786622.150  422.686   0.025   0.052 2
289-K 20:02:00.00  5/18/2010   507487.099  6786622.151  422.689   0.025   0.052 2
290-K 20:02:30.00  5/18/2010   507487.098  6786622.144  422.677   0.025   0.052 2
291-K 20:03:00.00  5/18/2010   507487.097  6786622.143  422.676   0.025   0.052 2
292-K 20:03:30.00  5/18/2010   507487.094  6786622.150  422.690   0.025   0.052 2
293-K 20:04:00.00  5/18/2010   507487.094  6786622.149  422.696   0.025   0.052 2
294-K 20:04:30.00  5/18/2010   507487.094  6786622.147  422.692   0.025   0.052 2
295-K 20:05:00.00  5/18/2010   507487.094  6786622.143  422.682   0.025   0.052 2
296-K 20:05:30.00  5/18/2010   507487.092  6786622.145  422.684   0.025   0.052 2
297-K 20:06:00.00  5/18/2010   507487.091  6786622.140  422.680   0.025   0.052 2
298-K 20:06:30.00  5/18/2010   507487.087  6786622.144  422.691   0.025   0.052 2
299-K 20:07:00.00  5/18/2010   507487.088  6786622.141  422.684   0.025   0.049 2
300-K 20:07:30.00  5/18/2010   507487.088  6786622.137  422.685   0.025   0.048 2
301-K 20:08:00.00  5/18/2010   507487.085  6786622.138  422.685   0.025   0.047 2
302-K 20:08:30.00  5/18/2010   507487.085  6786622.139  422.684   0.025   0.047 2
303-K 20:09:00.00  5/18/2010   507487.082  6786622.139  422.683   0.025   0.047 2
304-K 20:09:30.00  5/18/2010   507487.082  6786622.138  422.682   0.025   0.046 2
305-K 20:10:00.00  5/18/2010   507487.080  6786622.137  422.683   0.025   0.046 2
306-K 20:10:30.00  5/18/2010   507487.079  6786622.137  422.684   0.025   0.046 2
307-K 20:11:00.00  5/18/2010   507487.078  6786622.135  422.685   0.025   0.046 2
308-K 20:11:30.00  5/18/2010   507487.077  6786622.133  422.687   0.025   0.046 2
309-K 20:12:00.00  5/18/2010   507487.077  6786622.125  422.674   0.025   0.046 2
310-K 20:12:30.00  5/18/2010   507487.074  6786622.126  422.677   0.025   0.046 2
311-K 20:13:00.00  5/18/2010   507487.075  6786622.129  422.686   0.025   0.046 2
312-K 20:13:30.00  5/18/2010   507487.073  6786622.131  422.677   0.025   0.045 2
313-K 20:14:00.00  5/18/2010   507487.071  6786622.134  422.687   0.025   0.045 2
314-K 20:14:30.00  5/18/2010   507487.070  6786622.128  422.675   0.024   0.041 2
315-K 20:15:00.00  5/18/2010   507487.066  6786622.127  422.671   0.024   0.039 2
316-K 20:15:30.00  5/18/2010   507487.064  6786622.129  422.676   0.024   0.039 2
317-K 20:16:00.00  5/18/2010   507487.064  6786622.124  422.667   0.024   0.039 2
318-K 20:16:30.00  5/18/2010   507487.064  6786622.124  422.668   0.024   0.039 2
319-K 20:17:00.00  5/18/2010   507487.064  6786622.122  422.669   0.024   0.039 2
320-K 20:17:30.00  5/18/2010   507487.064  6786622.123  422.673   0.024   0.039 2
321-K 20:18:00.00  5/18/2010   507487.062  6786622.121  422.680   0.024   0.038 2
322-K 20:18:30.00  5/18/2010   507487.064  6786622.120  422.681   0.024   0.038 2
323-K 20:19:00.00  5/18/2010   507487.064  6786622.116  422.679   0.024   0.038 2
324-K 20:19:30.00  5/18/2010   507487.062  6786622.115  422.682   0.024   0.038 2
325-K 20:20:00.00  5/18/2010   507487.062  6786622.116  422.683   0.024   0.038 2
326-K 20:20:30.00  5/18/2010   507487.062  6786622.116  422.685   0.024   0.038 2
327-K 20:21:00.00  5/18/2010   507487.061  6786622.114  422.686   0.024   0.038 2
328-K 20:21:30.00  5/18/2010   507487.058  6786622.112  422.684   0.024   0.038 2
329-K 20:22:00.00  5/18/2010   507487.058  6786622.116  422.691   0.024   0.038 2
330-K 20:22:30.00  5/18/2010   507487.057  6786622.112  422.688   0.024   0.038 2
331-K 20:23:00.00  5/18/2010   507487.056  6786622.110  422.685   0.024   0.038 2
332-K 20:23:30.00  5/18/2010   507487.055  6786622.111  422.689   0.024   0.038 2
333-K 20:24:00.00  5/18/2010   507487.054  6786622.111  422.690   0.024   0.038 2
334-K 20:24:30.00  5/18/2010   507487.055  6786622.108  422.689   0.024   0.038 2
335-K 20:25:00.00  5/18/2010   507487.053  6786622.107  422.683   0.024   0.038 2
336-K 20:25:30.00  5/18/2010   507487.053  6786622.106  422.684   0.024   0.038 2
337-K 20:26:00.00  5/18/2010   507487.050  6786622.102  422.681   0.024   0.038 2
338-K 20:26:30.00  5/18/2010   507487.049  6786622.103  422.687   0.024   0.038 2
339-K 20:27:00.00  5/18/2010   507487.047  6786622.105  422.685   0.024   0.038 2
