Output order: Pnt Id						 Hz	 V	 Sd	 East	 North	 Elev	 Sig.Strength





111	166.5520833	6	15	13	15	279.07833	92.59083	1252.467	3764.476	5197.42	945.113
333	166.5527778	6	15	13	16	279.07972	92.59222	1252.464	3764.485	5197.449	945.083
444	166.5527778	6	15	13	16	291.04639	92.59333	1057.115	4014.41	5379.252	953.863
CGR1	166.5527778	6	15	13	16	179.98806	272.76806	131.87	4999.973	5131.716	1007.989
111	166.5534722	6	15	13	17	99.08083	267.41278	1252.463	3764.485	5197.473	945.191
333	166.5534722	6	15	13	17	99.08056	267.41361	1252.461	3764.485	5197.468	945.208
444	166.5534722	6	15	13	17	111.05056	267.41222	1057.115	4014.432	5379.321	953.966
CGR1	166.5625	6	15	13	30	359.98583	87.23694	131.87	4999.968	5131.717	1007.978
111	166.5625	6	15	13	30	279.07139	92.59194	1252.422	3764.498	5197.265	945.089
444	166.5631944	6	15	13	31	291.03806	92.59222	1057.09	4014.377	5379.098	953.886
CGR1	166.5631944	6	15	13	31	179.98778	272.76556	131.869	4999.972	5131.716	1007.984
111	166.5638889	6	15	13	32	99.07333	267.41361	1252.419	3764.502	5197.306	945.212
333	166.5638889	6	15	13	32	99.07389	267.41083	1252.418	3764.507	5197.314	945.148
444	166.5645833	6	15	13	33	111.03972	267.41194	1057.083	4014.391	5379.126	953.966
CGR1	166.5729167	6	15	13	45	359.9875	87.2375	131.87	4999.971	5131.717	1007.977
333	166.5736111	6	15	13	46	279.065	92.59306	1252.392	3764.506	5197.119	945.065
444	166.5736111	6	15	13	46	291.03222	92.59444	1057.058	4014.369	5378.985	953.848
CGR1	166.5736111	6	15	13	46	179.98694	272.76833	131.87	4999.97	5131.716	1007.99
333	166.5743056	6	15	13	47	99.06583	267.41361	1252.389	3764.506	5197.141	945.215
444	166.575	6	15	13	48	111.03361	267.4125	1057.053	4014.378	5379.01	953.978
CGR1	166.5833333	6	15	14	0	359.98694	87.24111	131.87	4999.97	5131.717	1007.968
333	166.5840278	6	15	14	1	279.05806	92.59694	1252.359	3764.519	5196.968	944.983
444	166.5840278	6	15	14	1	291.02472	92.59639	1057.026	4014.35	5378.842	953.811
CGR1	166.5840278	6	15	14	1	179.98722	272.77056	131.869	4999.97	5131.715	1007.995
333	166.5847222	6	15	14	2	99.06139	267.41194	1252.356	3764.525	5197.037	945.177
444	166.5847222	6	15	14	2	111.02833	267.41139	1057.027	4014.367	5378.908	953.958
CGR1	166.59375	6	15	14	15	359.9875	87.23833	131.87	4999.971	5131.717	1007.975
333	166.5944444	6	15	14	16	279.05	92.59528	1252.326	3764.522	5196.789	945.021
CGR1	166.5944444	6	15	14	16	179.98722	272.77111	131.87	4999.971	5131.715	1007.997
111	166.5951389	6	15	14	17	99.05361	267.41056	1252.325	3764.529	5196.865	945.147
333	166.5951389	6	15	14	17	99.05361	267.41056	1252.325	3764.53	5196.865	945.146
444	166.5951389	6	15	14	17	111.02028	267.40917	1056.998	4014.343	5378.76	953.918
CGR1	166.6041667	6	15	14	30	359.9875	87.23722	131.87	4999.971	5131.716	1007.977
111	166.6041667	6	15	14	30	279.045	92.59722	1252.294	3764.538	5196.674	944.98
333	166.6048611	6	15	14	31	279.045	92.59639	1252.295	3764.536	5196.674	944.998
444	166.6048611	6	15	14	31	291.0125	92.6	1056.969	4014.325	5378.611	953.75
CGR1	166.6048611	6	15	14	31	179.99028	272.77111	131.869	4999.977	5131.715	1007.996
111	166.6055556	6	15	14	32	99.04778	267.41083	1252.294	3764.54	5196.734	945.157
333	166.6055556	6	15	14	32	99.04667	267.41083	1252.291	3764.54	5196.712	945.153
444	166.6055556	6	15	14	32	111.01444	267.40833	1056.97	4014.331	5378.646	953.903
CGR1	166.6145833	6	15	14	45	359.98639	87.23917	131.87	4999.969	5131.717	1007.973
111	166.6145833	6	15	14	45	279.04028	92.59833	1252.263	3764.553	5196.564	944.96
333	166.6152778	6	15	14	46	279.04028	92.59833	1252.263	3764.554	5196.566	944.959
444	166.6152778	6	15	14	46	291.00472	92.59833	1056.942	4014.299	5378.47	953.778
CGR1	166.6152778	6	15	14	46	179.99139	272.76972	131.869	4999.98	5131.715	1007.993
111	166.6159722	6	15	14	47	99.04333	267.41056	1252.26	3764.558	5196.63	945.153
333	166.6159722	6	15	14	47	99.04389	267.41083	1252.26	3764.561	5196.645	945.155
CGR1	166.625	6	15	15	0	359.99139	87.23944	131.87	4999.98	5131.717	1007.972
111	166.625	6	15	15	0	279.03389	92.59861	1252.233	3764.562	5196.423	944.952
333	166.6256944	6	15	15	1	279.03306	92.59667	1252.23	3764.56	5196.408	944.994
444	166.6256944	6	15	15	1	291	92.59694	1056.919	4014.287	5378.379	953.806
CGR1	166.6256944	6	15	15	1	179.99028	272.76806	131.869	4999.978	5131.715	1007.99
111	166.6263889	6	15	15	2	99.03556	267.40778	1252.228	3764.566	5196.461	945.094
333	166.6263889	6	15	15	2	99.03722	267.40722	1252.23	3764.571	5196.498	945.079
444	166.6270833	6	15	15	3	111.00167	267.40556	1056.91	4014.304	5378.405	953.855
CGR1	166.6354167	6	15	15	15	359.98917	87.23833	131.87	4999.975	5131.717	1007.975
111	166.6354167	6	15	15	15	279.0275	92.59917	1252.201	3764.573	5196.282	944.94
333	166.6361111	6	15	15	16	279.0275	92.59833	1252.2	3764.573	5196.283	944.959
444	166.6361111	6	15	15	16	290.99306	92.60111	1056.89	4014.273	5378.25	953.732
CGR1	166.6361111	6	15	15	16	179.99222	272.76889	131.87	4999.982	5131.716	1007.992
111	166.6368056	6	15	15	17	99.02972	267.40917	1252.199	3764.573	5196.327	945.122
333	166.6368056	6	15	15	17	99.02944	267.40917	1252.198	3764.573	5196.325	945.121
