191	9	16	8	21	259.3479167	R1	179	58	41	179.9780556	272	45	29	272.7580556	131.908m	4999.950m	5131.755m	1007.969m
193	9	16	8	30	259.3541667	555	289	36	33	289.6091667	92	35	56	92.59888889	1653.489m	3443.993m	5554.352m	926.827m
195	9	16	8	30	259.3541667	R1	359	58	29	359.9747222	87	15	15	87.25416667	131.909m	4999.942m	5131.758m	1007.940m
197	9	16	8	31	259.3548611	555	109	36	50	109.6138889	267	24	41	267.4113889	1653.490m	3444.024m	5554.484m	927.130m
199	9	16	8	31	259.3548611	R1	179	58	44	179.9788889	272	45	25	272.7569444	131.909m	4999.951m	5131.756m	1007.966m
201	9	16	8	40	259.3611111	555	289	36	22	289.6061111	92	35	59	92.59972222	1653.479m	3443.973m	5554.263m	926.806m
203	9	16	8	40	259.3611111	R1	359	58	36	359.9766667	87	15	8	87.25222222	131.909m	4999.946m	5131.757m	1007.945m
205	9	16	8	41	259.3618056	555	109	36	31	109.6086111	267	24	43	267.4119444	1653.479m	3443.983m	5554.337m	927.141m
207	9	16	8	41	259.3618056	R1	179	58	42	179.9783333	272	45	29	272.7580556	131.908m	4999.950m	5131.755m	1007.968m
209					243	555	ERR_8704							0				
211	9	16	8	50	259.3680556	R1	359	58	53	359.9813889	87	15	14	87.25388889	131.909m	4999.957m	5131.757m	1007.941m
213					243	555	ERR_8704							0				
215	9	16	8	51	259.36875	R1	179	59	21	179.9891667	272	45	36	272.76	131.909m	4999.975m	5131.756m	1007.973m
217					243	555	ERR_8704							0				
219	9	16	9	0	259.375	R1	359	58	41	359.9780556	87	15	15	87.25416667	131.909m	4999.950m	5131.758m	1007.940m
221	9	16	9	1	259.3756944	555	109	36	24	109.6066667	267	24	53	267.4147222	1653.454m	3443.983m	5554.274m	927.224m
223	9	16	9	1	259.3756944	R1	179	58	49	179.9802778	272	45	30	272.7583333	131.908m	4999.954m	5131.755m	1007.969m
225	9	16	9	3	259.3770833	555	289	35	45	289.5958333	92	35	59	92.59972222	1653.449m	3443.902m	5553.975m	926.811m
227	9	16	9	3	259.3770833	R1	359	58	37	359.9769444	87	15	15	87.25416667	131.909m	4999.947m	5131.758m	1007.940m
229					243	555	ERR_8704							0				
231	9	16	9	4	259.3777778	R1	179	58	58	179.9827778	272	45	35	272.7597222	131.908m	4999.961m	5131.754m	1007.972m
233					243	555	ERR_8710							0				
